RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz
0.3970285892647786,-77.06694152787097,4.78,1.254,2.9468422232518234e+17,2.0009174322417494e+17,-1.876616650088785e+18
0.4904014456199904,-6.014356322842632,4.37,1.631,3.731212591853869e+18,2.3026815370307872e+17,-2.5177456258716378e+17
0.9351634947056436,-17.33603777380153,4.55,-0.047,1.885220766773289e+18,2.304464647644987e+17,-4.82968687689059e+17
1.1254483577273542,-10.50960501651364,4.99,1.619,1.4769825772381362e+19,4.904058759344983e+17,-2.6130273296447094e+18
1.3338632049942485,-5.70701159434312,4.61,1.029,1.036564688272989e+18,2.2501321026561206e+17,3.86654118029005e+16
2.0979786941863345,29.089311163474704,2.07,-0.038,6.291015758978815e+17,2.2623100777314566e+17,6.060531077375473e+17
2.301541226855566,59.1485382275658,2.28,0.38,9.111533006241958e+16,2.0746230355297424e+17,6.018933071095459e+17
2.3538790103738108,-45.74866509811286,3.88,1.013,7.51260652583223e+17,2.3483984014157728e+17,-7.898563635298778e+17
2.815470948633589,-15.469829762251422,4.89,0.487,3.881870027880776e+17,2.244447463090708e+17,4097397009921664.0
3.309003624611514,15.183539225412067,2.83,-0.19,2.8639229253196477e+18,3.7243196903296474e+17,9.850904806533834e+17
3.651349762110293,20.20671469611751,4.79,1.572,2.71414830581768e+18,3.8108650194708154e+17,1.2243359235232084e+18
3.659869098740428,-18.93337307345101,4.44,1.64,4.227141613140563e+18,4.782943086170377e+17,-1.3528484870896963e+18
4.27246884570513,38.68151251138633,4.61,0.059,1.6921099254569797e+18,3.3618049030748774e+17,1.6568867748698614e+18
4.581332531646425,36.78493184413622,4.51,0.054,8.93066347354039e+17,2.822668970762467e+17,9.59121601092023e+17
4.856877292524707,-8.82418171525453,3.56,1.214,2.525378047616985e+18,4.2612919231918835e+17,-2.608223202398887e+17
5.045400978171957,-64.86677022396391,4.23,0.576,-6.071359413669814e+16,2.0675535767456154e+17,-8.047174191981834e+16
6.506998979947076,-77.25199889343968,2.82,0.618,-1.223199885414992e+17,2.0261958992868723e+17,-6.540351455884947e+16
6.551850407043493,-43.67960364597996,3.93,0.175,3.486487423606625e+17,2.5675158886000125e+17,-3.4174455296683066e+17
6.573210640055541,-42.30841381553527,2.4,1.083,3.650766875164123e+17,2.58841589495787e+17,-3.3332889884679123e+17
6.981908731192464,-33.00751365989108,4.86,1.634,4.143908170395907e+18,7.255042370603213e+17,-2.6655482907245046e+18
7.85555608308055,-48.80338041844083,4.76,0.018,8.884298053395217e+17,3.432828697737964e+17,-1.0643983804166231e+18
7.887358768042954,-62.958591552839344,4.36,-0.064,4.222296788141272e+17,2.7929744959568186e+17,-1.01747123379331e+18
7.890781427482598,-62.965876050654,4.53,0.147,5.6022167167848755e+17,2.984590248433373e+17,-1.2908618747444406e+18
7.943645439726753,54.52218685362289,4.74,-0.098,1.7550777581252872e+18,4.6587630878819814e+17,2.8909014238903455e+18
