Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
122,0.3970285892647786,-77.06694152787097,4.78,1.254,1.6795095592924541e+18,3.8110849932324416e+17,1.9021235566135142e+17,HD 114082 b
154,0.4904014456199904,-6.014356322842632,4.37,1.631,5.11603792882114e+18,4.11284909802148e+17,1.8150544431629724e+18,HD 114082 b
301,0.9351634947056436,-17.33603777380153,4.55,-0.047,3.270046103740561e+18,4.1146322086356794e+17,1.5838603180610772e+18,HD 114082 b
355,1.1254483577273542,-10.50960501651364,4.99,1.619,1.6154651109348635e+19,6.714226320335675e+17,-5.461983238945733e+17,HD 114082 b
443,1.3338632049942485,-5.70701159434312,4.61,1.029,2.4213900252402606e+18,4.060299663646813e+17,2.1054944175530368e+18,HD 114082 b
677,2.0979786941863345,29.089311163474704,2.07,-0.038,2.0139269128651533e+18,4.072477638722149e+17,2.6728821134876836e+18,HD 114082 b
746,2.301541226855566,59.1485382275658,2.28,0.38,1.4759406670296914e+18,3.884790596520435e+17,2.6687223128596823e+18,HD 114082 b
765,2.3538790103738108,-45.74866509811286,3.88,1.013,2.1360859895504947e+18,4.158565962406465e+17,1.2769726422202586e+18,HD 114082 b
910,2.815470948633589,-15.469829762251422,4.89,0.487,1.7730123397553495e+18,4.0546150240814e+17,2.0709264027600579e+18,HD 114082 b
1067,3.309003624611514,15.183539225412067,2.83,-0.19,4.2487482622869197e+18,5.5344872513203405e+17,3.0519194864035195e+18,HD 114082 b
1168,3.651349762110293,20.20671469611751,4.79,1.572,4.0989736427849513e+18,5.621032580461508e+17,3.291164929273345e+18,HD 114082 b
1170,3.659869098740428,-18.93337307345101,4.44,1.64,5.611966950107834e+18,6.59311064716107e+17,7.1398051866044e+17,HD 114082 b
1366,4.27246884570513,38.68151251138633,4.61,0.059,3.0769352624242514e+18,5.17197246406557e+17,3.7237157806199977e+18,HD 114082 b
1473,4.581332531646425,36.78493184413622,4.51,0.054,2.2778916843213107e+18,4.63283653175316e+17,3.025950606842159e+18,HD 114082 b
1562,4.856877292524707,-8.82418171525453,3.56,1.214,3.9102033845842565e+18,6.071459484182577e+17,1.8060066855102474e+18,HD 114082 b
1599,5.045400978171957,-64.86677022396391,4.23,0.576,1.3241117428305736e+18,3.877721137736308e+17,1.9863572638303178e+18,HD 114082 b
2021,6.506998979947076,-77.25199889343968,2.82,0.618,1.2625053484257725e+18,3.836363460277565e+17,2.0014254911912868e+18,HD 114082 b
2072,6.551850407043493,-43.67960364597996,3.93,0.175,1.7334740793279345e+18,4.377683449590705e+17,1.7250844527833057e+18,HD 114082 b
2081,6.573210640055541,-42.30841381553527,2.4,1.083,1.749902024483684e+18,4.3985834559485626e+17,1.7335001069033452e+18,HD 114082 b
2210,6.981908731192464,-33.00751365989108,4.86,1.634,5.528733507363178e+18,9.065209931593905e+17,-5.987192849743685e+17,HD 114082 b
2472,7.85555608308055,-48.80338041844083,4.76,0.018,2.2732551423067935e+18,5.2429962587286566e+17,1.0024306253335132e+18,HD 114082 b
2484,7.887358768042954,-62.958591552839344,4.36,-0.064,1.807055015781399e+18,4.603142056947511e+17,1.0493577719568264e+18,HD 114082 b
2487,7.890781427482598,-62.965876050654,4.53,0.147,1.9450470086457595e+18,4.794757809424065e+17,7.759671310056957e+17,HD 114082 b
2505,7.943645439726753,54.52218685362289,4.74,-0.098,3.139903095092559e+18,6.468930648872673e+17,4.957730429640482e+18,HD 114082 b
2599,8.25002553307195,62.93176826039628,4.17,0.13,1.8802191626512675e+19,2.928342133095371e+18,3.700776038055362e+19,HD 114082 b
2912,9.2203328425703,33.719319127255105,4.34,-0.123,6.309399431621598e+18,1.2053338939224694e+18,5.672997632184955e+18,HD 114082 b
2920,9.243059946662951,53.8968464274673,3.69,-0.196,4.4987944866097203e+18,9.127586672534897e+17,6.792571492526313e+18,HD 114082 b
3031,9.637131219571549,29.31000379691044,4.34,0.871,2.583563197980375e+18,6.107762548043636e+17,3.0074550719927526e+18,HD 114082 b
3092,9.832906891636195,30.86045267193544,3.27,1.268,2.0227251462701496e+18,5.1839565893141146e+17,2.718107131876678e+18,HD 114082 b
3179,10.12746369697223,56.53710979472115,2.24,1.17,2.385689466282371e+18,5.875263072534305e+17,4.0303499683793766e+18,HD 114082 b
3245,10.331178587238778,-46.084999635615056,4.59,0.953,2.808242643242365e+18,6.688639742691443e+17,5.41134824968565e+17,HD 114082 b
