RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name,hip
0.3970285892647786,-77.06694152787097,4.78,1.254,4.873875397326221e+16,9.763671457199373e+17,-5.491046168023992e+17,HD 183579 b,96160
0.4904014456199904,-6.014356322842632,4.37,1.631,3.485267123501949e+18,1.0065435561988411e+18,1.0757374706992218e+18,HD 183579 b,96160
0.9351634947056436,-17.33603777380153,4.55,-0.047,1.6392752984213688e+18,1.006721867260261e+18,8.445433455973266e+17,HD 183579 b,96160
1.1254483577273542,-10.50960501651364,4.99,1.619,1.4523880304029442e+19,1.2666812784302607e+18,-1.285515296358324e+18,HD 183579 b,96160
1.3338632049942485,-5.70701159434312,4.61,1.029,7.906192199210689e+17,1.0012886127613745e+18,1.3661774450892861e+18,HD 183579 b,96160
2.0979786941863345,29.089311163474704,2.07,-0.038,3.8315610754596134e+17,1.002506410268908e+18,1.933565141023933e+18,HD 183579 b,96160
2.301541226855566,59.1485382275658,2.28,0.38,-1.548301382895005e+17,9.837377060487366e+17,1.9294053403959314e+18,HD 183579 b,96160
2.3538790103738108,-45.74866509811286,3.88,1.013,5.053151842313029e+17,1.0111152426373396e+18,5.376556697565079e+17,HD 183579 b,96160
2.815470948633589,-15.469829762251422,4.89,0.487,1.422415344361575e+17,1.0007201488048332e+18,1.3316094302963072e+18,HD 183579 b,96160
3.309003624611514,15.183539225412067,2.83,-0.19,2.6179774569677276e+18,1.1487073715287272e+18,2.312602513939769e+18,HD 183579 b,96160
3.651349762110293,20.20671469611751,4.79,1.572,2.46820283746576e+18,1.157361904442844e+18,2.551847956809594e+18,HD 183579 b,96160
3.659869098740428,-18.93337307345101,4.44,1.64,3.981196144788643e+18,1.2545697111128e+18,-2.533645380331059e+16,HD 183579 b,96160
4.27246884570513,38.68151251138633,4.61,0.059,1.4461644571050598e+18,1.1124558928032502e+18,2.984398808156247e+18,HD 183579 b,96160
4.581332531646425,36.78493184413622,4.51,0.054,6.471208790021189e+17,1.0585422995720091e+18,2.2866336343784084e+18,HD 183579 b,96160
