Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
122,0.3970285892647786,-77.06694152787097,4.78,1.254,7.43431038541931e+17,-5.271434399332151e+17,-2.3455826089170386e+18,HD 63433 d
154,0.4904014456199904,-6.014356322842632,4.37,1.631,4.1799594080706176e+18,-4.969670294543113e+17,-7.207405214154176e+17,HD 63433 d
301,0.9351634947056436,-17.33603777380153,4.55,-0.047,2.333967582990038e+18,-4.967887183928913e+17,-9.519346465173128e+17,HD 63433 d
355,1.1254483577273542,-10.50960501651364,4.99,1.619,1.5218572588598112e+19,-2.368293072228917e+17,-3.0819932884729636e+18,HD 63433 d
443,1.3338632049942485,-5.70701159434312,4.61,1.029,1.4853115044897377e+18,-5.02221972891778e+17,-4.3030054702535334e+17,HD 63433 d
677,2.0979786941863345,29.089311163474704,2.07,-0.038,1.0778483921146301e+18,-5.0100417538424435e+17,1.370871489092935e+17,HD 63433 d
746,2.301541226855566,59.1485382275658,2.28,0.38,5.398621462791684e+17,-5.1977287960441574e+17,1.3292734828129203e+17,HD 63433 d
765,2.3538790103738108,-45.74866509811286,3.88,1.013,1.2000074687999718e+18,-4.9239534301581274e+17,-1.2588223223581315e+18,HD 63433 d
910,2.815470948633589,-15.469829762251422,4.89,0.487,8.369338190048264e+17,-5.027904368483192e+17,-4.6486856181833216e+17,HD 63433 d
1067,3.309003624611514,15.183539225412067,2.83,-0.19,3.3126697415363963e+18,-3.548032141244252e+17,5.1612452182512954e+17,HD 63433 d
1168,3.651349762110293,20.20671469611751,4.79,1.572,3.1628951220344284e+18,-3.461486812103085e+17,7.553699646949548e+17,HD 63433 d
1170,3.659869098740428,-18.93337307345101,4.44,1.64,4.675888429357312e+18,-2.489408745403523e+17,-1.82181444591795e+18,HD 63433 d
1366,4.27246884570513,38.68151251138633,4.61,0.059,2.1408567416737285e+18,-3.910546928499023e+17,1.1879208160416077e+18,HD 63433 d
1473,4.581332531646425,36.78493184413622,4.51,0.054,1.3418131635707878e+18,-4.449682860811433e+17,4.9015564226376915e+17,HD 63433 d
1562,4.856877292524707,-8.82418171525453,3.56,1.214,2.9741248638337336e+18,-3.0110599083820166e+17,-7.297882790681426e+17,HD 63433 d
1599,5.045400978171957,-64.86677022396391,4.23,0.576,3.880332220800506e+17,-5.204798254828285e+17,-5.494377007480722e+17,HD 63433 d
2021,6.506998979947076,-77.25199889343968,2.82,0.618,3.2642682767524954e+17,-5.246155932287028e+17,-5.343694733871033e+17,HD 63433 d
2072,6.551850407043493,-43.67960364597996,3.93,0.175,7.973955585774113e+17,-4.7048359429738874e+17,-8.107105117950845e+17,HD 63433 d
2081,6.573210640055541,-42.30841381553527,2.4,1.083,8.13823503733161e+17,-4.68393593661603e+17,-8.022948576750451e+17,HD 63433 d
2210,6.981908731192464,-33.00751365989108,4.86,1.634,4.5926549866126556e+18,-1730946097068736.0,-3.134514249552759e+18,HD 63433 d
2472,7.85555608308055,-48.80338041844083,4.76,0.018,1.3371766215562703e+18,-3.839523133835936e+17,-1.5333643392448768e+18,HD 63433 d
