RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz
0.3970285892647786,-77.06694152787097,4.78,1.254,1.1003329048508782e+18,-7.59211220127165e+17,-2.470809918829088e+18
0.4904014456199904,-6.014356322842632,4.37,1.631,4.536861274379565e+18,-7.290348096482612e+17,-8.459678313274668e+17
0.9351634947056436,-17.33603777380153,4.55,-0.047,2.690869449298985e+18,-7.288564985868413e+17,-1.077161956429362e+18
1.1254483577273542,-10.50960501651364,4.99,1.619,1.5575474454907058e+19,-4.6889708741684166e+17,-3.2072205983850127e+18
1.3338632049942485,-5.70701159434312,4.61,1.029,1.842213370798685e+18,-7.342897530857279e+17,-5.5552785693740256e+17
2.0979786941863345,29.089311163474704,2.07,-0.038,1.4347502584235773e+18,-7.330719555781943e+17,1.1859838997244288e+16
2.301541226855566,59.1485382275658,2.28,0.38,8.967640125881155e+17,-7.518406597983657e+17,7700038369242816.0
2.3538790103738108,-45.74866509811286,3.88,1.013,1.5569093351089188e+18,-7.244631232097627e+17,-1.3840496322701809e+18
2.815470948633589,-15.469829762251422,4.89,0.487,1.1938356853137736e+18,-7.348582170422692e+17,-5.900958717303813e+17
3.309003624611514,15.183539225412067,2.83,-0.19,3.669571607845343e+18,-5.868709943183752e+17,3.908972119130803e+17
3.651349762110293,20.20671469611751,4.79,1.572,3.519796988343376e+18,-5.782164614042584e+17,6.301426547829055e+17
3.659869098740428,-18.93337307345101,4.44,1.64,5.032790295666259e+18,-4.810086547343022e+17,-1.947041755829999e+18
4.27246884570513,38.68151251138633,4.61,0.059,2.497758607982676e+18,-6.231224730438522e+17,1.0626935061295584e+18
4.581332531646425,36.78493184413622,4.51,0.054,1.6987150298797348e+18,-6.770360662750932e+17,3.6492833235171994e+17
4.856877292524707,-8.82418171525453,3.56,1.214,3.331026730142681e+18,-5.331737710321516e+17,-8.550155889801917e+17
5.045400978171957,-64.86677022396391,4.23,0.576,7.449350883889978e+17,-7.525476056767785e+17,-6.746650106601213e+17
6.506998979947076,-77.25199889343968,2.82,0.618,6.833286939841967e+17,-7.566833734226527e+17,-6.595967832991525e+17
6.551850407043493,-43.67960364597996,3.93,0.175,1.1542974248863585e+18,-7.025513744913388e+17,-9.359378217071337e+17
6.573210640055541,-42.30841381553527,2.4,1.083,1.1707253700421082e+18,-7.004613738555529e+17,-9.275221675870943e+17
6.981908731192464,-33.00751365989108,4.86,1.634,4.949556852921603e+18,-2.337987262910187e+17,-3.259741559464808e+18
7.85555608308055,-48.80338041844083,4.76,0.018,1.6940784878652175e+18,-6.160200935775436e+17,-1.658591649156926e+18
7.887358768042954,-62.958591552839344,4.36,-0.064,1.227878361339823e+18,-6.800055137556581e+17,-1.611664502533613e+18
7.890781427482598,-62.965876050654,4.53,0.147,1.3658703542041836e+18,-6.608439385080027e+17,-1.8850551434847437e+18
7.943645439726753,54.52218685362289,4.74,-0.098,2.5607264406509834e+18,-4.934266545631418e+17,2.296708155150042e+18
8.25002553307195,62.93176826039628,4.17,0.13,1.8223014972071098e+19,1.7880224136449618e+18,3.434673810606318e+19
9.2203328425703,33.719319127255105,4.34,-0.123,5.730222777180023e+18,6.501417447206016e+16,3.0119753576945157e+18
9.243059946662951,53.8968464274673,3.69,-0.196,3.919617832168145e+18,-2.2756105219691955e+17,4.131549218035874e+18
9.637131219571549,29.31000379691044,4.34,0.871,2.004386543538799e+18,-5.295434646460456e+17,3.464327975023132e+17
9.832906891636195,30.86045267193544,3.27,1.268,1.4435484918285737e+18,-6.219240605189978e+17,5.708485738623891e+16
10.12746369697223,56.53710979472115,2.24,1.17,1.8065128118407954e+18,-5.527934121969786e+17,1.3693276938889375e+18
10.331178587238778,-46.084999635615056,4.59,0.953,2.229065988800789e+18,-4.7145574518126496e+17,-2.1198874495218744e+18
10.51636460002619,50.51248118552076,4.8,-0.105,7.194940742271766e+18,4.557159166516462e+17,7.665530687011952e+18
