RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz
0.3970285892647786,-77.06694152787097,4.78,1.254,1.1127332224758422e+18,-7.741859299323187e+17,-1.7981802422318738e+18
0.4904014456199904,-6.014356322842632,4.37,1.631,4.5492615920045286e+18,-7.440095194534149e+17,-1.7333815473025277e+17
0.9351634947056436,-17.33603777380153,4.55,-0.047,2.703269766923949e+18,-7.43831208391995e+17,-4.04532279832148e+17
1.1254483577273542,-10.50960501651364,4.99,1.619,1.5587874772532023e+19,-4.838717972219953e+17,-2.5345909217877985e+18
1.3338632049942485,-5.70701159434312,4.61,1.029,1.8546136884236488e+18,-7.492644628908815e+17,1.171018196598115e+17
2.0979786941863345,29.089311163474704,2.07,-0.038,1.4471505760485412e+18,-7.48046665383348e+17,6.844895155944584e+17
2.301541226855566,59.1485382275658,2.28,0.38,9.091643302130794e+17,-7.668153696035194e+17,6.803297149664568e+17
2.3538790103738108,-45.74866509811286,3.88,1.013,1.569309652733883e+18,-7.394378330149164e+17,-7.114199556729667e+17
2.815470948633589,-15.469829762251422,4.89,0.487,1.2062360029387374e+18,-7.498329268474228e+17,8.253380486683267e+16
3.309003624611514,15.183539225412067,2.83,-0.19,3.6819719254703073e+18,-6.018457041235288e+17,1.0635268885102944e+18
3.651349762110293,20.20671469611751,4.79,1.572,3.5321973059683395e+18,-5.931911712094121e+17,1.3027723313801196e+18
3.659869098740428,-18.93337307345101,4.44,1.64,5.045190613291223e+18,-4.959833645394559e+17,-1.2744120792327852e+18
4.27246884570513,38.68151251138633,4.61,0.059,2.5101589256076396e+18,-6.380971828490058e+17,1.7353231827267725e+18
4.581332531646425,36.78493184413622,4.51,0.054,1.711115347504699e+18,-6.920107760802469e+17,1.037558008948934e+18
4.856877292524707,-8.82418171525453,3.56,1.214,3.3434270477676447e+18,-5.481484808373053e+17,-1.823859123829777e+17
5.045400978171957,-64.86677022396391,4.23,0.576,7.573354060139617e+17,-7.675223154819322e+17,-2035334062907328.0
6.506998979947076,-77.25199889343968,2.82,0.618,6.957290116091607e+17,-7.716580832278063e+17,1.3032893298061536e+16
6.551850407043493,-43.67960364597996,3.93,0.175,1.1666977425113224e+18,-7.175260842964924e+17,-2.6330814510991965e+17
6.573210640055541,-42.30841381553527,2.4,1.083,1.183125687667072e+18,-7.154360836607066e+17,-2.5489249098988022e+17
6.981908731192464,-33.00751365989108,4.86,1.634,4.961957170546567e+18,-2.4877343609617235e+17,-2.5871118828675937e+18
7.85555608308055,-48.80338041844083,4.76,0.018,1.7064788054901816e+18,-6.309948033826972e+17,-9.85961972559712e+17
7.887358768042954,-62.958591552839344,4.36,-0.064,1.2402786789647872e+18,-6.949802235608118e+17,-9.390348259363988e+17
7.890781427482598,-62.965876050654,4.53,0.147,1.3782706718291474e+18,-6.758186483131564e+17,-1.2124254668875295e+18
7.943645439726753,54.52218685362289,4.74,-0.098,2.573126758275947e+18,-5.084013643682955e+17,2.9693378317472563e+18
8.25002553307195,62.93176826039628,4.17,0.13,1.8235415289696063e+19,1.773047703839808e+18,3.5019367782660395e+19
9.2203328425703,33.719319127255105,4.34,-0.123,5.742623094804987e+18,5.00394646669065e+16,3.68460503429173e+18
9.243059946662951,53.8968464274673,3.69,-0.196,3.9320181497931085e+18,-2.425357620020732e+17,4.804178894633088e+18
9.637131219571549,29.31000379691044,4.34,0.871,2.0167868611637632e+18,-5.445181744511992e+17,1.0190624740995273e+18
9.832906891636195,30.86045267193544,3.27,1.268,1.4559488094535378e+18,-6.368987703241514e+17,7.297145339834529e+17
10.12746369697223,56.53710979472115,2.24,1.17,1.8189131294657592e+18,-5.677681220021323e+17,2.0419573704861517e+18
