Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
122,0.3970285892647786,-77.06694152787097,4.78,1.254,-1.2277100631047447e+18,1.8280664185156842e+17,-2.0494019163735337e+18,HIP 116454 b
154,0.4904014456199904,-6.014356322842632,4.37,1.631,2.208818306423942e+18,2.129830523304722e+17,-4.245598288719126e+17,HIP 116454 b
301,0.9351634947056436,-17.33603777380153,4.55,-0.047,3.6282648134336205e+17,2.1316136339189216e+17,-6.557539539738077e+17,HIP 116454 b
355,1.1254483577273542,-10.50960501651364,4.99,1.619,1.3247431486951436e+19,4.731207745618918e+17,-2.785812595929458e+18,HIP 116454 b
443,1.3338632049942485,-5.70701159434312,4.61,1.029,-4.85829597156938e+17,2.0772810889300554e+17,-1.3411985448184829e+17,HIP 116454 b
677,2.0979786941863345,29.089311163474704,2.07,-0.038,-8.932927095320456e+17,2.0894590640053914e+17,4.332678414527985e+17,HIP 116454 b
746,2.301541226855566,59.1485382275658,2.28,0.38,-1.4312789553675075e+18,1.901772021803677e+17,4.2910804082479706e+17,HIP 116454 b
765,2.3538790103738108,-45.74866509811286,3.88,1.013,-7.71133632846704e+17,2.1755473876897075e+17,-9.626416298146264e+17,HIP 116454 b
910,2.815470948633589,-15.469829762251422,4.89,0.487,-1.1342072826418493e+18,2.0715964493646426e+17,-1.686878692748271e+17,HIP 116454 b
1067,3.309003624611514,15.183539225412067,2.83,-0.19,1.3415286398897206e+18,3.551468676603583e+17,8.123052143686346e+17,HIP 116454 b
1168,3.651349762110293,20.20671469611751,4.79,1.572,1.1917540203877527e+18,3.63801400574475e+17,1.0515506572384598e+18,HIP 116454 b
1170,3.659869098740428,-18.93337307345101,4.44,1.64,2.704747327710636e+18,4.610092072444312e+17,-1.525633753374445e+18,HIP 116454 b
1366,4.27246884570513,38.68151251138633,4.61,0.059,1.697156400270528e+17,3.188953889348812e+17,1.4841015085851126e+18,HIP 116454 b
1473,4.581332531646425,36.78493184413622,4.51,0.054,-6.29327938075888e+17,2.6498179570364016e+17,7.863363348072742e+17,HIP 116454 b
1562,4.856877292524707,-8.82418171525453,3.56,1.214,1.0029837621870579e+18,4.088440909465818e+17,-4.336075865246375e+17,HIP 116454 b
1599,5.045400978171957,-64.86677022396391,4.23,0.576,-1.5831078795666253e+18,1.89470256301955e+17,-2.532570082045671e+17,HIP 116454 b
2021,6.506998979947076,-77.25199889343968,2.82,0.618,-1.6447142739714263e+18,1.853344885560807e+17,-2.3818878084359824e+17,HIP 116454 b
2072,6.551850407043493,-43.67960364597996,3.93,0.175,-1.1737455430692644e+18,2.3946648748739472e+17,-5.1452981925157946e+17,HIP 116454 b
2081,6.573210640055541,-42.30841381553527,2.4,1.083,-1.1573175979135148e+18,2.4155648812318048e+17,-5.0611416513154003e+17,HIP 116454 b
2210,6.981908731192464,-33.00751365989108,4.86,1.634,2.62151388496598e+18,7.082191356877148e+17,-2.8383335570092534e+18,HIP 116454 b
2472,7.85555608308055,-48.80338041844083,4.76,0.018,-6.339644800904054e+17,3.259977684011899e+17,-1.237183646701372e+18,HIP 116454 b
2484,7.887358768042954,-62.958591552839344,4.36,-0.064,-1.1001646066157998e+18,2.6201234822307533e+17,-1.1902565000780588e+18,HIP 116454 b
2487,7.890781427482598,-62.965876050654,4.53,0.147,-9.621726137514395e+17,2.8117392347073075e+17,-1.4636471410291894e+18,HIP 116454 b
2505,7.943645439726753,54.52218685362289,4.74,-0.098,2.3268347269536026e+17,4.485912074155916e+17,2.7181161576055967e+18,HIP 116454 b
