RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz
0.3970285892647786,-77.06694152787097,4.78,1.254,3.0750510117421804e+18,1.362105145037662e+18,5.0504985482449075e+17
0.4904014456199904,-6.014356322842632,4.37,1.631,6.511579381270867e+18,1.3922815555165658e+18,2.1298919423261117e+18
0.9351634947056436,-17.33603777380153,4.55,-0.047,4.665587556190287e+18,1.3924598665779855e+18,1.8986978172242166e+18
1.1254483577273542,-10.50960501651364,4.99,1.619,1.7550192561798361e+19,1.6524192777479852e+18,-2.31360824731434e+17
1.3338632049942485,-5.70701159434312,4.61,1.029,3.816931477689987e+18,1.387026612079099e+18,2.420331916716176e+18
2.0979786941863345,29.089311163474704,2.07,-0.038,3.4094683653148795e+18,1.3882444095866327e+18,2.9877196126508227e+18
2.301541226855566,59.1485382275658,2.28,0.38,2.871482119479418e+18,1.3694757053664612e+18,2.9835598120228214e+18
2.3538790103738108,-45.74866509811286,3.88,1.013,3.531627442000221e+18,1.396853241955064e+18,1.591810141383398e+18
2.815470948633589,-15.469829762251422,4.89,0.487,3.1685537922050755e+18,1.3864581481225577e+18,2.3857639019231974e+18
3.309003624611514,15.183539225412067,2.83,-0.19,5.644289714736646e+18,1.5344453708464517e+18,3.366756985566659e+18
3.651349762110293,20.20671469611751,4.79,1.572,5.494515095234678e+18,1.5430999037605683e+18,3.606002428436484e+18
3.659869098740428,-18.93337307345101,4.44,1.64,7.007508402557561e+18,1.6403077104305247e+18,1.0288180178235794e+18
4.27246884570513,38.68151251138633,4.61,0.059,4.472476714873978e+18,1.4981938921209746e+18,4.0385532797831373e+18
4.581332531646425,36.78493184413622,4.51,0.054,3.673433136771037e+18,1.4442802988897336e+18,3.3407881060052987e+18
4.856877292524707,-8.82418171525453,3.56,1.214,5.305744837033983e+18,1.5881425941326753e+18,2.120844184673387e+18
5.045400978171957,-64.86677022396391,4.23,0.576,2.7196531952803e+18,1.3687687594880484e+18,2.3011947629934572e+18
6.506998979947076,-77.25199889343968,2.82,0.618,2.658046800875499e+18,1.3646329917421742e+18,2.316262990354426e+18
6.551850407043493,-43.67960364597996,3.93,0.175,3.1290155317776604e+18,1.4187649906734881e+18,2.0399219519464448e+18
6.573210640055541,-42.30841381553527,2.4,1.083,3.1454434769334103e+18,1.4208549913092739e+18,2.0483376060664842e+18
6.981908731192464,-33.00751365989108,4.86,1.634,6.924274959812905e+18,1.8875176388738081e+18,-2.838817858112292e+17
7.85555608308055,-48.80338041844083,4.76,0.018,3.66879659475652e+18,1.5052962715872835e+18,1.3172681244966525e+18
7.887358768042954,-62.958591552839344,4.36,-0.064,3.202596468231125e+18,1.441310851409169e+18,1.3641952711199657e+18
7.890781427482598,-62.965876050654,4.53,0.147,3.3405884610954854e+18,1.460472426656824e+18,1.0908046301688351e+18
7.943645439726753,54.52218685362289,4.74,-0.098,4.5354445475422853e+18,1.627889710601685e+18,5.272567928803621e+18
8.25002553307195,62.93176826039628,4.17,0.13,2.01977330789624e+19,3.9093387788097884e+18,3.732259787971676e+19
9.2203328425703,33.719319127255105,4.34,-0.123,7.704940884071325e+18,2.186330539636887e+18,5.987835131348095e+18
9.243059946662951,53.8968464274673,3.69,-0.196,5.894335939059447e+18,1.8937553129679073e+18,7.107408991689453e+18
9.637131219571549,29.31000379691044,4.34,0.871,3.9791046504301015e+18,1.5917729005187812e+18,3.3222925711558917e+18
9.832906891636195,30.86045267193544,3.27,1.268,3.418266598719876e+18,1.499392304645829e+18,3.0329446310398177e+18
10.12746369697223,56.53710979472115,2.24,1.17,3.7812309187320975e+18,1.5685229529678482e+18,4.345187467542516e+18
10.331178587238778,-46.084999635615056,4.59,0.953,4.2037840956920914e+18,1.649860619983562e+18,8.559723241317043e+17
10.51636460002619,50.51248118552076,4.8,-0.105,9.169658849163067e+18,2.577032281816473e+18,1.064139046066553e+19
10.838427544059812,-57.46295331853858,4.36,0.024,3.808681090323872e+18,1.5888420047425628e+18,6.24211957779743e+17
10.866709890986527,47.024290635024265,4.95,0.17,3.711582524025598e+18,1.5708170007610348e+18,3.7478857088782653e+18
10.899062878153684,-17.986379561895237,2.04,1.019,3.454122795047387e+18,1.5218889347197632e+18,2.2613152003827215e+18
11.047456816968651,-10.610333719221485,4.77,0.998,4.523022871469663e+18,1.7328562288826783e+18,2.1756161979496765e+18
11.181507688575676,48.28431168280281,4.48,-0.069,8.202947607738652e+18,2.464921395716769e+18,8.93944303999396e+18
11.83392543881112,24.26661472495898,4.08,1.1,4.1387827914032824e+18,1.6797178480103188e+18,3.24656176805541e+18
12.171178129937884,7.584731955059808,4.44,1.5,5.404455718359769e+18,1.9621206190795592e+18,2.922235913301365e+18
12.208753117457066,50.968100116695126,4.9,-0.091,4.876644691317913e+18,1.8498393077969964e+18,5.405002511623881e+18
12.290249448328716,57.81133639237829,3.46,0.587,2.7030852270624266e+18,1.3796939286797545e+18,2.69668596001089e+18
12.45373731030204,41.07878671193715,4.53,-0.136,7.339366854748916e+18,2.4038919670305e+18,6.76543347949236e+18
13.252104250591035,-1.144372236623221,4.78,1.55,7.38924835850743e+18,2.4850080509636895e+18,2.443101237104605e+18
13.266511091971148,61.12513714483894,4.8,0.54,2.876803847540564e+18,1.4223649788711537e+18,3.0430153064614543e+18
13.750221994265996,58.97241778339134,4.83,1.216,4.5338540609980344e+18,1.83025437936854e+18,5.838258919584953e+18
14.165028681441536,59.18074381952912,4.62,0.957,3.5751821578727916e+18,1.603103673654989e+18,4.2142008229530624e+18
14.177576241595771,60.716714091567454,2.15,-0.046,5.358118518235247e+18,2.0537389768578122e+18,7.600262521360234e+18
14.18972424894549,38.499597843337085,3.86,0.13,3.5858488904359107e+18,1.6062444533955512e+18,3.3439457574871014e+18
14.301338871467,23.41733120275678,4.4,0.94,4.64900556983672e+18,1.879294911161212e+18,3.4536923382342707e+18
14.651680850872063,-29.357405707910832,4.3,-0.154,7.972408143311093e+18,2.7614936133910764e+18,-5.779277446682199e+17
15.735308986058248,7.89031347303777,4.27,0.952,4.323909436178812e+18,1.8424739276830986e+18,2.788374267077668e+18
16.52032452712127,-46.71819622982267,3.32,0.885,3.83967635698888e+18,1.7243345659227333e+18,1.1764852496631465e+18
17.096429406455808,-55.24555585684016,3.94,-0.12,4.049430885397623e+18,1.8023695598214223e+18,3.669308348588649e+17
17.148973063108787,-10.183215652300712,3.46,1.161,3.6540288137688883e+18,1.6818058118393992e+18,2.344499333608889e+18
17.195453549710916,86.25701218704398,4.24,1.213,2.7919787286966845e+18,1.4159617674562522e+18,5.493428768473506e+18
17.375561324321097,47.24170289467086,4.26,0.012,7.1206204218262e+18,2.7710846167729377e+18,7.655480721463207e+18
17.434500656498187,35.6197857276719,2.07,1.576,4.070281162581715e+18,1.8182475350824433e+18,3.6397274374399606e+18
17.778402869149602,55.14976752928888,4.34,0.17,3.3150531066036234e+18,1.585748644013895e+18,3.60836093937149e+18
17.8637245042038,21.034577469782253,4.66,1.024,6.30188183275347e+18,2.5495427152149903e+18,4.0339049066741693e+18
17.915743975035,30.089379502423625,4.51,1.092,3.8707489077470065e+18,1.767274064530004e+18,3.3105164838952924e+18
18.4374203424592,24.58356691183804,4.67,1.047,5.688477085941201e+18,2.38601267900301e+18,4.0270229168831877e+18
18.802861769025903,-45.53043863515824,4.97,0.571,2.915512970349398e+18,1.4637461439648648e+18,2.2097508351404846e+18
18.95018244330686,-68.87505043225387,4.25,0.48,2.822399359956921e+18,1.4326597156249372e+18,1.9530950433247636e+18
19.866849031399227,27.2639786462788,4.74,0.032,5.066647622124358e+18,2.2474633340747594e+18,3.8887462553136404e+18
20.02046710937374,58.23159571169619,4.95,0.683,1.3510469357906117e+19,5.33164093196317e+18,2.128000828413739e+19
20.585398881166025,45.52883784544765,4.87,1.077,3.8207124098939187e+18,1.8145373529581202e+18,3.8613659640834985e+18
21.005309594658005,-8.184679494722316,3.6,1.065,3.6086448039468733e+18,1.7432837321689546e+18,2.386986380803145e+18
21.405447901698725,-14.598914934909953,4.9,1.231,5.065583507478145e+18,2.322456003124868e+18,1.8535597476780221e+18
21.458086204034142,60.23494261102847,2.66,0.16,3.0420117300876544e+18,1.5296656516215444e+18,3.357636444743191e+18
21.4848100635237,68.13019701078169,4.72,1.047,3.240727115659151e+18,1.608114904897439e+18,4.236704712873989e+18
21.917587997556417,45.40593509756259,4.83,0.421,3.1763524151682207e+18,1.5877542842365484e+18,3.163180674872051e+18
22.091190613285704,-43.3196625581622,3.41,1.542,4.099705314395467e+18,1.9645287978213652e+18,1.0225716283767798e+18
22.54834134864092,6.143501580894638,4.84,1.372,5.738384362853233e+18,2.658825155323038e+18,2.906129644978901e+18
22.81438709117935,-49.07164154092847,3.93,0.972,3.44871941499387e+18,1.7127392970298163e+18,1.4887041489954852e+18
22.871056134394195,15.345800382789626,3.62,0.974,5.079758083411268e+18,2.4017259254910776e+18,3.277588734433896e+18
23.482241424529324,59.23188084568045,4.68,0.991,3.5146308226388347e+18,1.7529723803605745e+18,4.202505533751717e+18
24.19776250475581,41.40283808166952,4.1,0.536,2.891809767583272e+18,1.4866358164349253e+18,2.816080732957346e+18
24.42964611674067,-57.23703311061782,0.45,-0.158,3.277838269701651e+18,1.6633726391693245e+18,1.39712690250332e+18
24.498784226664792,48.62743989205226,3.59,1.275,3.596761925814053e+18,1.8096827120556175e+18,3.775567901066873e+18
25.145221697686384,40.57688747905262,4.96,-0.068,7.036715221039761e+18,3.4379362679033073e+18,6.731552595421225e+18
25.357735580425697,5.487638056821011,4.45,1.347,5.740250383233352e+18,2.84358417060583e+18,2.8742931026568207e+18
25.453824947473137,42.61212933209541,4.96,0.618,2.866740349247868e+18,1.4822708385441344e+18,2.805379849291861e+18
25.681211611836503,-3.690436953618045,4.98,1.378,1.2847864069505772e+19,6.283095270846921e+18,1.8083378961060518e+18
25.91541751873087,50.68863898731795,4.01,-0.098,6.471927877417591e+18,3.2366266875582024e+18,7.78841569368121e+18
26.004696254874776,-15.931604718523872,3.49,0.727,2.7047451614366193e+18,1.4063156622709396e+18,2.5103405467767025e+18
26.34895405180304,9.158003969437589,4.26,0.942,4.768911613128559e+18,2.429411276894387e+18,2.930082549347088e+18
27.39521907940048,-10.687060100096954,4.66,0.333,3.2431677151786824e+18,1.6883084089603958e+18,2.4061143379815327e+18
27.865411110423214,-10.3352993546938,3.74,1.136,4.739061319476165e+18,2.485833693953081e+18,2.1015163628881802e+18
28.270544618366586,29.57722187261977,3.42,0.488,3.0720977966572575e+18,1.6087294279744348e+18,2.8406440589913155e+18
28.383138453224795,19.29317013578968,3.88,-0.047,4.2129415767074483e+18,2.2263258826396265e+18,3.180035875756621e+18
28.38912319974112,3.1877009251266406,4.61,0.928,4.1915969426725724e+18,2.21500678460872e+18,2.641519112863537e+18
28.41050394500296,-46.30329766390707,4.39,1.597,4.4547660858787476e+18,2.358128123002718e+18,3.432061918200077e+17
28.59935224955399,63.66997314447979,3.35,-0.15,4.2357338892140524e+18,2.2465955215451223e+18,6.288646442789022e+18
28.66074689810932,20.807286676296933,2.64,0.165,3.069854343416146e+18,1.6115975597000596e+18,2.7414763510750505e+18
28.73525540738888,-67.64679997534982,4.68,0.931,3.2916692270585846e+18,1.733996601831199e+18,6.437263649146985e+17
28.99701297381737,-51.60694034708662,3.69,0.844,2.9005645459568906e+18,1.521306029838573e+18,2.118346537698136e+18
29.000369671983417,68.68517486700316,4.97,-0.084,4.717157725125298e+18,2.5282978397355725e+18,8.72327574242708e+18
29.167954855923167,-22.52699255024503,4.92,1.434,5.65007895020401e+18,3.057085143099055e+18,1.0960046249216806e+18
29.293034606265536,-47.3852168347433,4.82,0.864,4.098543881790025e+18,2.1953742966669496e+18,6.829263523728676e+17
29.48146806949714,23.595961575113765,4.79,0.29,3.6126135325898895e+18,1.927114718219857e+18,3.045589117721653e+18
29.696266027424567,-61.569674029328105,2.86,0.29,2.8864752567070095e+18,1.5179786192021842e+18,1.9479732853613164e+18
30.00226364343148,-21.078000255927574,3.99,1.554,4.907713760375638e+18,2.6870284044066765e+18,1.517484268892475e+18
30.48824096871556,70.9069464812232,4.49,0.164,2.91911835375301e+18,1.542349560770513e+18,3.5860103718547825e+18
30.51197954241612,2.7637565785253635,3.82,0.024,3.739813260139346e+18,2.0261808840100808e+18,2.6046824249871683e+18
30.575850664657324,54.48751780257151,4.99,-0.071,6.106816091686156e+18,3.426378004130612e+18,8.236796844685997e+18
30.857770252455325,72.42144911777717,3.95,-0.002,3.0050952066111887e+18,1.596436640841773e+18,4.0032764964819195e+18
30.97520527560156,42.329374958192304,2.1,1.37,4.735773766874532e+18,2.6364214129344133e+18,4.802277291184374e+18
31.12275940645638,-29.29676015018269,4.68,-0.156,5.158644181770349e+18,2.8992098387598377e+18,8.69090012501448e+17
31.794793042472943,23.46142045880772,2.01,1.151,3.093705758918657e+18,1.660278339633873e+18,2.7895205026792847e+18
32.12325932429199,37.858777106160346,4.78,0.12,3.859468072103722e+18,2.144945850894399e+18,3.6903603905644605e+18
32.35616086233781,25.939664552507747,4.98,0.339,4.907792424885583e+18,2.816221755917229e+18,3.865836254877906e+18
