RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name,hip
0.3970285892647786,-77.06694152787097,4.78,1.254,3.07505102968262e+18,1.3621051451800036e+18,5.050498744737528e+17,HIP 67522 c,67522
0.4904014456199904,-6.014356322842632,4.37,1.631,6.511579399211307e+18,1.3922815556589074e+18,2.1298919619753738e+18,HIP 67522 c,67522
0.9351634947056436,-17.33603777380153,4.55,-0.047,4.665587574130727e+18,1.3924598667203272e+18,1.8986978368734787e+18,HIP 67522 c,67522
1.1254483577273542,-10.50960501651364,4.99,1.619,1.75501925797388e+19,1.6524192778903268e+18,-2.313608050821719e+17,HIP 67522 c,67522
1.3338632049942485,-5.70701159434312,4.61,1.029,3.8169314956304266e+18,1.3870266122214405e+18,2.420331936365438e+18,HIP 67522 c,67522
2.0979786941863345,29.089311163474704,2.07,-0.038,3.409468383255319e+18,1.3882444097289743e+18,2.987719632300085e+18,HIP 67522 c,67522
2.301541226855566,59.1485382275658,2.28,0.38,2.8714821374198574e+18,1.3694757055088028e+18,2.9835598316720835e+18,HIP 67522 c,67522
2.3538790103738108,-45.74866509811286,3.88,1.013,3.5316274599406607e+18,1.3968532420974057e+18,1.59181016103266e+18,HIP 67522 c,67522
2.815470948633589,-15.469829762251422,4.89,0.487,3.168553810145515e+18,1.3864581482648993e+18,2.3857639215724595e+18,HIP 67522 c,67522
3.309003624611514,15.183539225412067,2.83,-0.19,5.644289732677085e+18,1.5344453709887933e+18,3.366757005215921e+18,HIP 67522 c,67522
3.651349762110293,20.20671469611751,4.79,1.572,5.494515113175118e+18,1.54309990390291e+18,3.606002448085746e+18,HIP 67522 c,67522
3.659869098740428,-18.93337307345101,4.44,1.64,7.007508420498e+18,1.6403077105728663e+18,1.0288180374728415e+18,HIP 67522 c,67522
4.27246884570513,38.68151251138633,4.61,0.059,4.4724767328144174e+18,1.4981938922633162e+18,4.038553299432399e+18,HIP 67522 c,67522
4.581332531646425,36.78493184413622,4.51,0.054,3.6734331547114767e+18,1.4442802990320753e+18,3.340788125654561e+18,HIP 67522 c,67522
4.856877292524707,-8.82418171525453,3.56,1.214,5.305744854974423e+18,1.588142594275017e+18,2.120844204322649e+18,HIP 67522 c,67522
5.045400978171957,-64.86677022396391,4.23,0.576,2.7196532132207396e+18,1.36876875963039e+18,2.3011947826427192e+18,HIP 67522 c,67522
6.506998979947076,-77.25199889343968,2.82,0.618,2.6580468188159386e+18,1.3646329918845158e+18,2.3162630100036884e+18,HIP 67522 c,67522
6.551850407043493,-43.67960364597996,3.93,0.175,3.1290155497181e+18,1.4187649908158298e+18,2.039921971595707e+18,HIP 67522 c,67522
6.573210640055541,-42.30841381553527,2.4,1.083,3.14544349487385e+18,1.4208549914516155e+18,2.0483376257157463e+18,HIP 67522 c,67522
6.981908731192464,-33.00751365989108,4.86,1.634,6.924274977753344e+18,1.8875176390161498e+18,-2.838817661619671e+17,HIP 67522 c,67522
7.85555608308055,-48.80338041844083,4.76,0.018,3.668796612696959e+18,1.505296271729625e+18,1.3172681441459146e+18,HIP 67522 c,67522
7.887358768042954,-62.958591552839344,4.36,-0.064,3.202596486171565e+18,1.4413108515515105e+18,1.3641952907692278e+18,HIP 67522 c,67522
7.890781427482598,-62.965876050654,4.53,0.147,3.340588479035925e+18,1.4604724267991657e+18,1.0908046498180972e+18,HIP 67522 c,67522
7.943645439726753,54.52218685362289,4.74,-0.098,4.535444565482725e+18,1.6278897107440266e+18,5.272567948452882e+18,HIP 67522 c,67522
8.25002553307195,62.93176826039628,4.17,0.13,2.019773309690284e+19,3.9093387789521306e+18,3.732259789936602e+19,HIP 67522 c,67522
9.2203328425703,33.719319127255105,4.34,-0.123,7.704940902011765e+18,2.1863305397792287e+18,5.987835150997357e+18,HIP 67522 c,67522
9.243059946662951,53.8968464274673,3.69,-0.196,5.894335956999887e+18,1.893755313110249e+18,7.107409011338715e+18,HIP 67522 c,67522
9.637131219571549,29.31000379691044,4.34,0.871,3.9791046683705405e+18,1.5917729006611228e+18,3.322292590805154e+18,HIP 67522 c,67522
9.832906891636195,30.86045267193544,3.27,1.268,3.4182666166603156e+18,1.4993923047881708e+18,3.03294465068908e+18,HIP 67522 c,67522
10.12746369697223,56.53710979472115,2.24,1.17,3.781230936672537e+18,1.5685229531101898e+18,4.3451874871917783e+18,HIP 67522 c,67522
10.331178587238778,-46.084999635615056,4.59,0.953,4.2037841136325304e+18,1.6498606201259036e+18,8.559723437809664e+17,HIP 67522 c,67522
10.51636460002619,50.51248118552076,4.8,-0.105,9.169658867103506e+18,2.5770322819588147e+18,1.0641390480314792e+19,HIP 67522 c,67522
10.838427544059812,-57.46295331853858,4.36,0.024,3.8086811082643113e+18,1.5888420048849044e+18,6.24211977429005e+17,HIP 67522 c,67522
10.866709890986527,47.024290635024265,4.95,0.17,3.7115825419660375e+18,1.5708170009033764e+18,3.747885728527527e+18,HIP 67522 c,67522
10.899062878153684,-17.986379561895237,2.04,1.019,3.4541228129878267e+18,1.5218889348621048e+18,2.2613152200319836e+18,HIP 67522 c,67522
11.047456816968651,-10.610333719221485,4.77,0.998,4.5230228894101023e+18,1.73285622902502e+18,2.1756162175989386e+18,HIP 67522 c,67522
11.181507688575676,48.28431168280281,4.48,-0.069,8.202947625679092e+18,2.4649213958591104e+18,8.939443059643222e+18,HIP 67522 c,67522
11.83392543881112,24.26661472495898,4.08,1.1,4.138782809343722e+18,1.6797178481526605e+18,3.246561787704672e+18,HIP 67522 c,67522
12.171178129937884,7.584731955059808,4.44,1.5,5.404455736300208e+18,1.9621206192219008e+18,2.9222359329506273e+18,HIP 67522 c,67522
12.208753117457066,50.968100116695126,4.9,-0.091,4.876644709258353e+18,1.849839307939338e+18,5.405002531273143e+18,HIP 67522 c,67522
12.290249448328716,57.81133639237829,3.46,0.587,2.703085245002866e+18,1.3796939288220961e+18,2.6966859796601523e+18,HIP 67522 c,67522
12.45373731030204,41.07878671193715,4.53,-0.136,7.339366872689355e+18,2.4038919671728415e+18,6.765433499141622e+18,HIP 67522 c,67522
13.252104250591035,-1.144372236623221,4.78,1.55,7.389248376447869e+18,2.485008051106031e+18,2.4431012567538673e+18,HIP 67522 c,67522
13.266511091971148,61.12513714483894,4.8,0.54,2.8768038654810035e+18,1.4223649790134953e+18,3.043015326110716e+18,HIP 67522 c,67522
13.750221994265996,58.97241778339134,4.83,1.216,4.5338540789384735e+18,1.8302543795108815e+18,5.838258939234216e+18,HIP 67522 c,67522
14.165028681441536,59.18074381952912,4.62,0.957,3.575182175813231e+18,1.6031036737973307e+18,4.2142008426023245e+18,HIP 67522 c,67522
14.177576241595771,60.716714091567454,2.15,-0.046,5.358118536175686e+18,2.0537389770001539e+18,7.600262541009496e+18,HIP 67522 c,67522
14.18972424894549,38.499597843337085,3.86,0.13,3.58584890837635e+18,1.6062444535378929e+18,3.3439457771363635e+18,HIP 67522 c,67522
14.301338871467,23.41733120275678,4.4,0.94,4.64900558777716e+18,1.8792949113035535e+18,3.4536923578835333e+18,HIP 67522 c,67522
14.651680850872063,-29.357405707910832,4.3,-0.154,7.972408161251533e+18,2.7614936135334185e+18,-5.779277250189578e+17,HIP 67522 c,67522
15.735308986058248,7.89031347303777,4.27,0.952,4.323909454119251e+18,1.8424739278254403e+18,2.78837428672693e+18,HIP 67522 c,67522
16.52032452712127,-46.71819622982267,3.32,0.885,3.83967637492932e+18,1.724334566065075e+18,1.1764852693124086e+18,HIP 67522 c,67522
