RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name,hip
0.3970285892647786,-77.06694152787097,4.78,1.254,-3.074885144965331e+17,2.4822175614136156e+18,-4.118084948535595e+18,Kepler-21 b,94112
0.4904014456199904,-6.014356322842632,4.37,1.631,3.1290398550321536e+18,2.5123939718925194e+18,-2.4932428610339743e+18,Kepler-21 b,94112
0.9351634947056436,-17.33603777380153,4.55,-0.047,1.2830480299515735e+18,2.5125722829539395e+18,-2.7244369861358694e+18,Kepler-21 b,94112
1.1254483577273542,-10.50960501651364,4.99,1.619,1.4167653035559647e+19,2.772531694123939e+18,-4.85449562809152e+18,Kepler-21 b,94112
1.3338632049942485,-5.70701159434312,4.61,1.029,4.343919514512736e+17,2.507139028455053e+18,-2.20280288664391e+18,Kepler-21 b,94112
2.0979786941863345,29.089311163474704,2.07,-0.038,2.6928839076166016e+16,2.508356825962586e+18,-1.635415190709263e+18,Kepler-21 b,94112
2.301541226855566,59.1485382275658,2.28,0.38,-5.110574067592959e+17,2.489588121742415e+18,-1.6395749913372646e+18,Kepler-21 b,94112
2.3538790103738108,-45.74866509811286,3.88,1.013,1.490879157615076e+17,2.5169656583310177e+18,-3.031324661976688e+18,Kepler-21 b,94112
2.815470948633589,-15.469829762251422,4.89,0.487,-2.1398573403363782e+17,2.5065705644985114e+18,-2.2373709014368888e+18,Kepler-21 b,94112
3.309003624611514,15.183539225412067,2.83,-0.19,2.2617501884979323e+18,2.654557787222405e+18,-1.256377817793427e+18,Kepler-21 b,94112
3.651349762110293,20.20671469611751,4.79,1.572,2.1119755689959644e+18,2.663212320136522e+18,-1.0171323749236019e+18,Kepler-21 b,94112
3.659869098740428,-18.93337307345101,4.44,1.64,3.6249688763188475e+18,2.7604201268064783e+18,-3.594316785536507e+18,Kepler-21 b,94112
4.27246884570513,38.68151251138633,4.61,0.059,1.0899371886352644e+18,2.6183063084969283e+18,-5.84581523576949e+17,Kepler-21 b,94112
4.581332531646425,36.78493184413622,4.51,0.054,2.908936105323236e+17,2.564392715265687e+18,-1.2823466973547873e+18,Kepler-21 b,94112
4.856877292524707,-8.82418171525453,3.56,1.214,1.9232053107952696e+18,2.708255010508629e+18,-2.502290618686699e+18,Kepler-21 b,94112
5.045400978171957,-64.86677022396391,4.23,0.576,-6.628863309584136e+17,2.488881175864002e+18,-2.321940040366629e+18,Kepler-21 b,94112
6.506998979947076,-77.25199889343968,2.82,0.618,-7.244927253632146e+17,2.4847454081181276e+18,-2.30687181300566e+18,Kepler-21 b,94112
6.551850407043493,-43.67960364597996,3.93,0.175,-2.5352399446105286e+17,2.538877407049442e+18,-2.583212851413641e+18,Kepler-21 b,94112
6.573210640055541,-42.30841381553527,2.4,1.083,-2.3709604930530317e+17,2.5409674076852275e+18,-2.574797197293602e+18,Kepler-21 b,94112
6.981908731192464,-33.00751365989108,4.86,1.634,3.5417354335741916e+18,3.007630055249762e+18,-4.907016589171315e+18,Kepler-21 b,94112
7.85555608308055,-48.80338041844083,4.76,0.018,2.862570685178062e+17,2.625408687963237e+18,-3.3058666788634337e+18,Kepler-21 b,94112
7.887358768042954,-62.958591552839344,4.36,-0.064,-1.7994305800758822e+17,2.5614232677851223e+18,-3.2589395322401203e+18,Kepler-21 b,94112
7.890781427482598,-62.965876050654,4.53,0.147,-4.19510651432279e+16,2.5805848430327777e+18,-3.532330173191251e+18,Kepler-21 b,94112
7.943645439726753,54.52218685362289,4.74,-0.098,1.1529050213035718e+18,2.748002126977639e+18,6.494331254435348e+17,Kepler-21 b,94112
8.25002553307195,62.93176826039628,4.17,0.13,1.6815193552723687e+19,5.029451195185742e+18,3.2699463076356674e+19,Kepler-21 b,94112
9.2203328425703,33.719319127255105,4.34,-0.123,4.3224013578326113e+18,3.306442956012841e+18,1.3647003279880084e+18,Kepler-21 b,94112
9.243059946662951,53.8968464274673,3.69,-0.196,2.5117964128207334e+18,3.0138677293438607e+18,2.4842741883293665e+18,Kepler-21 b,94112
9.637131219571549,29.31000379691044,4.34,0.871,5.965651241913878e+17,2.711885316894735e+18,-1.3008422322041943e+18,Kepler-21 b,94112
9.832906891636195,30.86045267193544,3.27,1.268,3.5727072481162496e+16,2.619504721021783e+18,-1.5901901723202685e+18,Kepler-21 b,94112
10.12746369697223,56.53710979472115,2.24,1.17,3.9869139249338406e+17,2.688635369343802e+18,-2.779473358175698e+17,Kepler-21 b,94112
10.331178587238778,-46.084999635615056,4.59,0.953,8.212445694533777e+17,2.7699730363595156e+18,-3.7671624792283817e+18,Kepler-21 b,94112
10.51636460002619,50.51248118552076,4.8,-0.105,5.787119322924354e+18,3.697144698192427e+18,6.018255657305444e+18,Kepler-21 b,94112
10.838427544059812,-57.46295331853858,4.36,0.024,4.261415640851583e+17,2.7089544211185167e+18,-3.9989228455803433e+18,Kepler-21 b,94112
