RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz
0.3970285892647786,-77.06694152787097,4.78,1.254,7.141094481087392e+16,7.290188655575802e+16,-1.3376231341085998e+18
0.4904014456199904,-6.014356322842632,4.37,1.631,3.5079393143395604e+18,1.0307829703466182e+17,2.8721895339302112e+17
0.9351634947056436,-17.33603777380153,4.55,-0.047,1.6619474892589806e+18,1.0325660809608176e+17,5.602482829112589e+16
1.1254483577273542,-10.50960501651364,4.99,1.619,1.4546552494867055e+19,3.632160192660814e+17,-2.0740338136645248e+18
1.3338632049942485,-5.70701159434312,4.61,1.029,8.132914107586806e+17,9.782335359719515e+16,5.776589277830854e+17
2.0979786941863345,29.089311163474704,2.07,-0.038,4.0582829838357306e+17,9.904115110472875e+16,1.1450466237177322e+18
2.301541226855566,59.1485382275658,2.28,0.38,-1.321579474518888e+17,8.027244688455734e+16,1.1408868230897308e+18
2.3538790103738108,-45.74866509811286,3.88,1.013,5.279873750689146e+17,1.0764998347316035e+17,-2.508628475496928e+17
2.815470948633589,-15.469829762251422,4.89,0.487,1.649137252737692e+17,9.725488964065387e+16,5.4309091299010656e+17
3.309003624611514,15.183539225412067,2.83,-0.19,2.640649647805339e+18,2.4524211236454784e+17,1.5240839966335683e+18
3.651349762110293,20.20671469611751,4.79,1.572,2.4908750283033713e+18,2.5389664527866464e+17,1.7633294395033933e+18
3.659869098740428,-18.93337307345101,4.44,1.64,4.0038683356262543e+18,3.511044519486208e+17,-8.138549711095113e+17
4.27246884570513,38.68151251138633,4.61,0.059,1.4688366479426714e+18,2.0899063363907085e+17,2.1958802908500465e+18
4.581332531646425,36.78493184413622,4.51,0.054,6.697930698397307e+17,1.5507704040782976e+17,1.498115117072208e+18
4.856877292524707,-8.82418171525453,3.56,1.214,2.3021047701026765e+18,2.9893933565077146e+17,2.781711957402962e+17
5.045400978171957,-64.86677022396391,4.23,0.576,-2.8398687165100653e+17,7.956550100614462e+16,4.585217740603666e+17
6.506998979947076,-77.25199889343968,2.82,0.618,-3.455932660558076e+17,7.542973326027034e+16,4.735900014213354e+17
6.551850407043493,-43.67960364597996,3.93,0.175,1.2537546484635418e+17,1.2956173219158435e+17,1.9724896301335424e+17
6.573210640055541,-42.30841381553527,2.4,1.083,1.4180341000210387e+17,1.3165173282737011e+17,2.0566461713339366e+17
6.981908731192464,-33.00751365989108,4.86,1.634,3.9206348928815985e+18,5.983143803919044e+17,-2.12655477474432e+18
7.85555608308055,-48.80338041844083,4.76,0.018,6.651565278252132e+17,2.1609301310537952e+17,-5.2540486443643814e+17
7.887358768042954,-62.958591552839344,4.36,-0.064,1.989564012998188e+17,1.5210759292726496e+17,-4.78477717813125e+17
7.890781427482598,-62.965876050654,4.53,0.147,3.3694839416417914e+17,1.7126916817492035e+17,-7.518683587642556e+17
7.943645439726753,54.52218685362289,4.74,-0.098,1.5318044806109788e+18,3.3868645211978125e+17,3.42989493987053e+18
