RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name,hip
0.3970285892647786,-77.06694152787097,4.78,1.254,-4.25189806937707e+18,4.320038209791339e+18,-3.2492096012350003e+18,MASCARA-1 b,104513
0.4904014456199904,-6.014356322842632,4.37,1.631,-8.153696998483835e+17,4.350214620270243e+18,-1.624367513733379e+18,MASCARA-1 b,104513
0.9351634947056436,-17.33603777380153,4.55,-0.047,-2.6613615249289636e+18,4.350392931331663e+18,-1.8555616388352742e+18,MASCARA-1 b,104513
1.1254483577273542,-10.50960501651364,4.99,1.619,1.022324348067911e+19,4.610352342501662e+18,-3.985620280790925e+18,MASCARA-1 b,104513
1.3338632049942485,-5.70701159434312,4.61,1.029,-3.5100176034292634e+18,4.344959676832776e+18,-1.3339275393433147e+18,MASCARA-1 b,104513
2.0979786941863345,29.089311163474704,2.07,-0.038,-3.917480715804371e+18,4.3461774743403095e+18,-7.665398434086679e+17,MASCARA-1 b,104513
2.301541226855566,59.1485382275658,2.28,0.38,-4.4554669616398326e+18,4.327408770120138e+18,-7.706996440366694e+17,MASCARA-1 b,104513
2.3538790103738108,-45.74866509811286,3.88,1.013,-3.795321639119029e+18,4.354786306708741e+18,-2.162449314676093e+18,MASCARA-1 b,104513
2.815470948633589,-15.469829762251422,4.89,0.487,-4.158395288914175e+18,4.344391212876235e+18,-1.3684955541362936e+18,MASCARA-1 b,104513
3.309003624611514,15.183539225412067,2.83,-0.19,-1.6826593663826048e+18,4.4923784356001285e+18,-3.875024704928319e+17,MASCARA-1 b,104513
3.651349762110293,20.20671469611751,4.79,1.572,-1.8324339858845727e+18,4.5010329685142456e+18,-1.4825702762300672e+17,MASCARA-1 b,104513
3.659869098740428,-18.93337307345101,4.44,1.64,-3.194406785616896e+17,4.5982407751842017e+18,-2.725441438235911e+18,MASCARA-1 b,104513
4.27246884570513,38.68151251138633,4.61,0.059,-2.8544723662452726e+18,4.4561269568746516e+18,2.842938237236462e+17,MASCARA-1 b,104513
4.581332531646425,36.78493184413622,4.51,0.054,-3.653515944348213e+18,4.4022133636434104e+18,-4.1347135005419226e+17,MASCARA-1 b,104513
4.856877292524707,-8.82418171525453,3.56,1.214,-2.0212042440852675e+18,4.5460756588863524e+18,-1.6334152713861038e+18,MASCARA-1 b,104513
5.045400978171957,-64.86677022396391,4.23,0.576,-4.6072958858389504e+18,4.3267018242417254e+18,-1.4530646930660337e+18,MASCARA-1 b,104513
6.506998979947076,-77.25199889343968,2.82,0.618,-4.668902280243752e+18,4.322566056495851e+18,-1.4379964657050647e+18,MASCARA-1 b,104513
6.551850407043493,-43.67960364597996,3.93,0.175,-4.19793354934159e+18,4.376698055427165e+18,-1.714337504113046e+18,MASCARA-1 b,104513
6.573210640055541,-42.30841381553527,2.4,1.083,-4.18150560418584e+18,4.378788056062951e+18,-1.7059218499930066e+18,MASCARA-1 b,104513
6.981908731192464,-33.00751365989108,4.86,1.634,-4.026741213063455e+17,4.845450703627485e+18,-4.03814124187072e+18,MASCARA-1 b,104513
7.85555608308055,-48.80338041844083,4.76,0.018,-3.6581524863627305e+18,4.46322933634096e+18,-2.436991331562838e+18,MASCARA-1 b,104513
7.887358768042954,-62.958591552839344,4.36,-0.064,-4.1243526128881254e+18,4.3992439161628457e+18,-2.390064184939525e+18,MASCARA-1 b,104513
7.890781427482598,-62.965876050654,4.53,0.147,-3.986360620023765e+18,4.418405491410501e+18,-2.6634548258906557e+18,MASCARA-1 b,104513
7.943645439726753,54.52218685362289,4.74,-0.098,-2.791504533576965e+18,4.5858227753553623e+18,1.51830847274413e+18,MASCARA-1 b,104513
8.25002553307195,62.93176826039628,4.17,0.13,1.287078399784315e+19,6.867271843563466e+18,3.3568338423657267e+19,MASCARA-1 b,104513
9.2203328425703,33.719319127255105,4.34,-0.123,3.7799180295207424e+17,5.144263604390564e+18,2.2335756752886036e+18,MASCARA-1 b,104513
9.243059946662951,53.8968464274673,3.69,-0.196,-1.4326131420598036e+18,4.851688377721585e+18,3.3531495356299617e+18,MASCARA-1 b,104513
9.637131219571549,29.31000379691044,4.34,0.871,-3.347844430689149e+18,4.549705965272458e+18,-4.31966884903599e+17,MASCARA-1 b,104513
9.832906891636195,30.86045267193544,3.27,1.268,-3.9086824823993743e+18,4.457325369399506e+18,-7.213148250196733e+17,MASCARA-1 b,104513
10.12746369697223,56.53710979472115,2.24,1.17,-3.545718162387153e+18,4.526456017721525e+18,5.909280114830254e+17,MASCARA-1 b,104513
10.331178587238778,-46.084999635615056,4.59,0.953,-3.123164985427159e+18,4.607793684737239e+18,-2.8982871319277865e+18,MASCARA-1 b,104513
10.51636460002619,50.51248118552076,4.8,-0.105,1.842709768043817e+18,5.53496534657015e+18,6.88713100460604e+18,MASCARA-1 b,104513
10.838427544059812,-57.46295331853858,4.36,0.024,-3.5182679907953787e+18,4.54677506949624e+18,-3.1300474982797476e+18,MASCARA-1 b,104513
10.866709890986527,47.024290635024265,4.95,0.17,-3.6153665570936525e+18,4.528750065514712e+18,-6373747181225728.0,MASCARA-1 b,104513
10.899062878153684,-17.986379561895237,2.04,1.019,-3.8728262860718633e+18,4.4798219994734403e+18,-1.4929442556767693e+18,MASCARA-1 b,104513
11.047456816968651,-10.610333719221485,4.77,0.998,-2.803926209649587e+18,4.690789293636355e+18,-1.5786432581098143e+18,MASCARA-1 b,104513
11.181507688575676,48.28431168280281,4.48,-0.069,8.759985266194012e+17,5.422854460470446e+18,5.18518358393447e+18,MASCARA-1 b,104513
11.83392543881112,24.26661472495898,4.08,1.1,-3.188166289715968e+18,4.637650912763996e+18,-5.076976880040805e+17,MASCARA-1 b,104513
12.171178129937884,7.584731955059808,4.44,1.5,-1.9224933627594813e+18,4.920053683833236e+18,-8.320235427581258e+17,MASCARA-1 b,104513
12.208753117457066,50.968100116695126,4.9,-0.091,-2.450304389801338e+18,4.807772372550673e+18,1.6507430555643904e+18,MASCARA-1 b,104513
12.290249448328716,57.81133639237829,3.46,0.587,-4.623863854056824e+18,4.3376269934334316e+18,-1.0575734960486006e+18,MASCARA-1 b,104513
12.45373731030204,41.07878671193715,4.53,-0.136,1.241777362966528e+16,5.361825031784177e+18,3.011174023432869e+18,MASCARA-1 b,104513
13.252104250591035,-1.144372236623221,4.78,1.55,6.229927738817946e+16,5.442941115717367e+18,-1.3111582189548856e+18,MASCARA-1 b,104513
13.266511091971148,61.12513714483894,4.8,0.54,-4.4501452335786865e+18,4.3802980436248305e+18,-7.112441495980367e+17,MASCARA-1 b,104513
13.750221994265996,58.97241778339134,4.83,1.216,-2.793095020121216e+18,4.788187444122216e+18,2.0839994635254625e+18,MASCARA-1 b,104513
14.165028681441536,59.18074381952912,4.62,0.957,-3.751766923246459e+18,4.561036738408666e+18,4.599413668935716e+17,MASCARA-1 b,104513
14.177576241595771,60.716714091567454,2.15,-0.046,-1.9688305628840038e+18,5.011672041611489e+18,3.8460030653007437e+18,MASCARA-1 b,104513
14.18972424894549,38.499597843337085,3.86,0.13,-3.74110019068334e+18,4.564177518149228e+18,-4.103136985723894e+17,MASCARA-1 b,104513
14.301338871467,23.41733120275678,4.4,0.94,-2.67794351128253e+18,4.837227975914889e+18,-3.0056711782521984e+17,MASCARA-1 b,104513
14.651680850872063,-29.357405707910832,4.3,-0.154,6.454590621918423e+17,5.719426678144754e+18,-4.3321872007277107e+18,MASCARA-1 b,104513
15.735308986058248,7.89031347303777,4.27,0.952,-3.0030396449404385e+18,4.800406992436776e+18,-9.658851889818231e+17,MASCARA-1 b,104513
16.52032452712127,-46.71819622982267,3.32,0.885,-3.4872727241303706e+18,4.68226763067641e+18,-2.5777742063963443e+18,MASCARA-1 b,104513
17.096429406455808,-55.24555585684016,3.94,-0.12,-3.2775181957216276e+18,4.760302624575099e+18,-3.3873286212006257e+18,MASCARA-1 b,104513
17.148973063108787,-10.183215652300712,3.46,1.161,-3.672920267350362e+18,4.639738876593076e+18,-1.409760122450602e+18,MASCARA-1 b,104513
17.195453549710916,86.25701218704398,4.24,1.213,-4.534970352422566e+18,4.373894832209929e+18,1.739169312414015e+18,MASCARA-1 b,104513
17.375561324321097,47.24170289467086,4.26,0.012,-2.0632865929305088e+17,5.729017681526614e+18,3.901221265403716e+18,MASCARA-1 b,104513
17.434500656498187,35.6197857276719,2.07,1.576,-3.2566679185375355e+18,4.77618059983612e+18,-1.1453201861953011e+17,MASCARA-1 b,104513
17.778402869149602,55.14976752928888,4.34,0.17,-4.011895974515627e+18,4.543681708767572e+18,-1.4589851668800102e+17,MASCARA-1 b,104513
17.8637245042038,21.034577469782253,4.66,1.024,-1.02506724836578e+18,5.507475779968668e+18,2.7964545061467853e+17,MASCARA-1 b,104513
17.915743975035,30.089379502423625,4.51,1.092,-3.456200173372244e+18,4.725207129283681e+18,-4.437429721641985e+17,MASCARA-1 b,104513
18.4374203424592,24.58356691183804,4.67,1.047,-1.638471995178049e+18,5.343945743756687e+18,2.727634608236969e+17,MASCARA-1 b,104513
