Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
122,0.3970285892647786,-77.06694152787097,4.78,1.254,1.6314221878335444e+18,5.922988654642924e+17,-1.8958404216253053e+18,Wolf 503 b
154,0.4904014456199904,-6.014356322842632,4.37,1.631,5.067950557362231e+18,6.224752759431962e+17,-2.7099833412368422e+17,Wolf 503 b
301,0.9351634947056436,-17.33603777380153,4.55,-0.047,3.221958732281651e+18,6.226535870046161e+17,-5.0219245922557946e+17,Wolf 503 b
355,1.1254483577273542,-10.50960501651364,4.99,1.619,1.6106563737889724e+19,8.826129981746158e+17,-2.63225110118123e+18,Wolf 503 b
443,1.3338632049942485,-5.70701159434312,4.61,1.029,2.3733026537813514e+18,6.172203325057295e+17,1.944164026638003e+16,Wolf 503 b
677,2.0979786941863345,29.089311163474704,2.07,-0.038,1.9658395414062436e+18,6.184381300132631e+17,5.868293362010268e+17,Wolf 503 b
746,2.301541226855566,59.1485382275658,2.28,0.38,1.4278532955707817e+18,5.996694257930917e+17,5.826695355730254e+17,Wolf 503 b
765,2.3538790103738108,-45.74866509811286,3.88,1.013,2.087998618091585e+18,6.270469623816947e+17,-8.090801350663982e+17,Wolf 503 b
910,2.815470948633589,-15.469829762251422,4.89,0.487,1.7249249682964398e+18,6.166518685491882e+17,-1.51263745265988e+16,Wolf 503 b
1067,3.309003624611514,15.183539225412067,2.83,-0.19,4.2006608908280095e+18,7.646390912730822e+17,9.658667091168628e+17,Wolf 503 b
1168,3.651349762110293,20.20671469611751,4.79,1.572,4.050886271326042e+18,7.73293624187199e+17,1.205112151986688e+18,Wolf 503 b
1170,3.659869098740428,-18.93337307345101,4.44,1.64,5.563879578648925e+18,8.705014308571552e+17,-1.3720722586262167e+18,Wolf 503 b
1366,4.27246884570513,38.68151251138633,4.61,0.059,3.028847890965342e+18,7.283876125476052e+17,1.637663003333341e+18,Wolf 503 b
1473,4.581332531646425,36.78493184413622,4.51,0.054,2.229804312862401e+18,6.744740193163642e+17,9.398978295555025e+17,Wolf 503 b
1562,4.856877292524707,-8.82418171525453,3.56,1.214,3.8621160131253473e+18,8.183363145593057e+17,-2.8004609177640915e+17,Wolf 503 b
1599,5.045400978171957,-64.86677022396391,4.23,0.576,1.276024371371664e+18,5.989624799146789e+17,-9.96955134563388e+16,Wolf 503 b
2021,6.506998979947076,-77.25199889343968,2.82,0.618,1.2144179769668628e+18,5.948267121688047e+17,-8.462728609536994e+16,Wolf 503 b
2072,6.551850407043493,-43.67960364597996,3.93,0.175,1.6853867078690248e+18,6.489587111001187e+17,-3.609683245033511e+17,Wolf 503 b
2081,6.573210640055541,-42.30841381553527,2.4,1.083,1.7018146530247744e+18,6.510487117359045e+17,-3.525526703833117e+17,Wolf 503 b
2210,6.981908731192464,-33.00751365989108,4.86,1.634,5.480646135904269e+18,1.1177113593004388e+18,-2.6847720622610253e+18,Wolf 503 b
2472,7.85555608308055,-48.80338041844083,4.76,0.018,2.2251677708478838e+18,7.354899920139139e+17,-1.0836221519531436e+18,Wolf 503 b
2484,7.887358768042954,-62.958591552839344,4.36,-0.064,1.7589676443224893e+18,6.715045718357993e+17,-1.0366950053298304e+18,Wolf 503 b
2487,7.890781427482598,-62.965876050654,4.53,0.147,1.8969596371868498e+18,6.906661470834547e+17,-1.310085646280961e+18,Wolf 503 b
2505,7.943645439726753,54.52218685362289,4.74,-0.098,3.0918157236336497e+18,8.580834310283156e+17,2.871677652353825e+18,Wolf 503 b
2599,8.25002553307195,62.93176826039628,4.17,0.13,1.8754104255053767e+19,3.139532499236419e+18,3.4921707603266966e+19,Wolf 503 b
2912,9.2203328425703,33.719319127255105,4.34,-0.123,6.261312060162689e+18,1.4165242600635177e+18,3.5869448548982984e+18,Wolf 503 b
2920,9.243059946662951,53.8968464274673,3.69,-0.196,4.450707115150811e+18,1.1239490333945379e+18,4.706518715239656e+18,Wolf 503 b
3031,9.637131219571549,29.31000379691044,4.34,0.871,2.5354758265214653e+18,8.219666209454118e+17,9.214022947060957e+17,Wolf 503 b
3092,9.832906891636195,30.86045267193544,3.27,1.268,1.97463777481124e+18,7.295860250724596e+17,6.320543545900215e+17,Wolf 503 b
3179,10.12746369697223,56.53710979472115,2.24,1.17,2.337602094823462e+18,7.987166733944788e+17,1.94429719109272e+18,Wolf 503 b
3245,10.331178587238778,-46.084999635615056,4.59,0.953,2.760155271783455e+18,8.800543404101924e+17,-1.5449179523180918e+18,Wolf 503 b
3300,10.51636460002619,50.51248118552076,4.8,-0.105,7.726030025254432e+18,1.8072260022431037e+18,8.240500184215734e+18,Wolf 503 b
3405,10.838427544059812,-57.46295331853858,4.36,0.024,2.365052266415236e+18,8.190357251691933e+17,-1.776678318670053e+18,Wolf 503 b
3414,10.866709890986527,47.024290635024265,4.95,0.17,2.2679537001169623e+18,8.010107211876653e+17,1.346995432428469e+18,Wolf 503 b
3419,10.899062878153684,-17.986379561895237,2.04,1.019,2.010493971138751e+18,7.520826551463939e+17,-1.3957507606707458e+17,Wolf 503 b
3455,11.047456816968651,-10.610333719221485,4.77,0.998,3.079394047561027e+18,9.630499493093089e+17,-2.2527407850011955e+17,Wolf 503 b
3504,11.181507688575676,48.28431168280281,4.48,-0.069,6.759318783830016e+18,1.6951151161433994e+18,6.538552763544164e+18,Wolf 503 b
3693,11.83392543881112,24.26661472495898,4.08,1.1,2.695153967494647e+18,9.099115684369492e+17,8.456714916056142e+17,Wolf 503 b
3786,12.171178129937884,7.584731955059808,4.44,1.5,3.9608268944511334e+18,1.1923143395061896e+18,5.21345636851569e+17,Wolf 503 b
3801,12.208753117457066,50.968100116695126,4.9,-0.091,3.433015867409277e+18,1.080033028223627e+18,3.004112235174085e+18,Wolf 503 b
3821,12.290249448328716,57.81133639237829,3.46,0.587,1.259456403153791e+18,6.09887649106385e+17,2.957956835610943e+17,Wolf 503 b
3881,12.45373731030204,41.07878671193715,4.53,-0.136,5.89573803084028e+18,1.6340856874571305e+18,4.3645432030425636e+18,Wolf 503 b
4147,13.252104250591035,-1.144372236623221,4.78,1.55,5.945619534598794e+18,1.7152017713903199e+18,4.22109606548092e+16,Wolf 503 b
4151,13.266511091971148,61.12513714483894,4.8,0.54,1.4331750236319278e+18,6.52558699297784e+17,6.42125030011658e+17,Wolf 503 b
4292,13.750221994265996,58.97241778339134,4.83,1.216,3.0902252370893983e+18,1.0604480997951703e+18,3.437368643135157e+18,Wolf 503 b
4422,14.165028681441536,59.18074381952912,4.62,0.957,2.131553333964156e+18,8.332973940816195e+17,1.8133105465032663e+18,Wolf 503 b
4427,14.177576241595771,60.716714091567454,2.15,-0.046,3.914489694326611e+18,1.2839326972844426e+18,5.199372244910438e+18,Wolf 503 b
4436,14.18972424894549,38.499597843337085,3.86,0.13,2.142220066527275e+18,8.364381738221818e+17,9.430554810373053e+17,Wolf 503 b
4463,14.301338871467,23.41733120275678,4.4,0.94,3.2053767459280845e+18,1.1094886315878426e+18,1.0528020617844749e+18,Wolf 503 b
4577,14.651680850872063,-29.357405707910832,4.3,-0.154,6.528779319402457e+18,1.991687333817707e+18,-2.978818021118016e+18,Wolf 503 b
4906,15.735308986058248,7.89031347303777,4.27,0.952,2.8802806122701757e+18,1.0726676481097292e+18,3.874839906278716e+17,Wolf 503 b
5165,16.52032452712127,-46.71819622982267,3.32,0.885,2.396047533080244e+18,9.545282863493638e+17,-1.2244050267866496e+18,Wolf 503 b
5348,17.096429406455808,-55.24555585684016,3.94,-0.12,2.605802061488987e+18,1.0325632802480529e+18,-2.0339594415909312e+18,Wolf 503 b
5364,17.148973063108787,-10.183215652300712,3.46,1.161,2.2103999898602527e+18,9.119995322660296e+17,-5.639094284090709e+16,Wolf 503 b
5372,17.195453549710916,86.25701218704398,4.24,1.213,1.348349904788049e+18,6.461554878828827e+17,3.0925384920237097e+18,Wolf 503 b
5434,17.375561324321097,47.24170289467086,4.26,0.012,5.676991597917564e+18,2.001278337199568e+18,5.254590445013411e+18,Wolf 503 b
5447,17.434500656498187,35.6197857276719,2.07,1.576,2.6266523386730793e+18,1.0484412555090739e+18,1.2388371609901647e+18,Wolf 503 b
5542,17.778402869149602,55.14976752928888,4.34,0.17,1.8714242826949873e+18,8.159423644405256e+17,1.2074706629216937e+18,Wolf 503 b
5571,17.8637245042038,21.034577469782253,4.66,1.024,4.858253008844835e+18,1.779736435641621e+18,1.6330146302243732e+18,Wolf 503 b
5586,17.915743975035,30.089379502423625,4.51,1.092,2.4271200838383703e+18,9.974677849566344e+17,9.096262074454962e+17,Wolf 503 b
5742,18.4374203424592,24.58356691183804,4.67,1.047,4.244848262032565e+18,1.6162063994296402e+18,1.6261326404333916e+18,Wolf 503 b
5862,18.802861769025903,-45.53043863515824,4.97,0.571,1.4718841464407624e+18,6.939398643914953e+17,-1.911394413093113e+17,Wolf 503 b
5896,18.95018244330686,-68.87505043225387,4.25,0.48,1.378770536048285e+18,6.628534360515676e+17,-4.4779523312503226e+17,Wolf 503 b
6193,19.866849031399227,27.2639786462788,4.74,0.032,3.623018798215722e+18,1.4776570545013898e+18,1.4878559788638444e+18,Wolf 503 b
6242,20.02046710937374,58.23159571169619,4.95,0.683,1.206684053399748e+19,4.5618346523898004e+18,1.8879118007687594e+19,Wolf 503 b
6411,20.585398881166025,45.52883784544765,4.87,1.077,2.377083585985283e+18,1.0447310733847508e+18,1.4604756876337024e+18,Wolf 503 b
6537,21.005309594658005,-8.184679494722316,3.6,1.065,2.1650159800382374e+18,9.734774525955852e+17,-1.3903895646650832e+16,Wolf 503 b
6670,21.405447901698725,-14.598914934909953,4.9,1.231,3.6219546835695084e+18,1.5526497235514982e+18,-5.47330528771774e+17,Wolf 503 b
6686,21.458086204034142,60.23494261102847,2.66,0.16,1.5983829061790182e+18,7.598593720481751e+17,9.567461682933948e+17,Wolf 503 b
6692,21.4848100635237,68.13019701078169,4.72,1.047,1.7970982917505147e+18,8.383086253240696e+17,1.835814436424193e+18,Wolf 503 b
6813,21.917587997556417,45.40593509756259,4.83,0.421,1.7327235912595845e+18,8.17948004663179e+17,7.622903984222552e+17,Wolf 503 b
6867,22.091190613285704,-43.3196625581622,3.41,1.542,2.656076490486831e+18,1.194722518247996e+18,-1.3783186480730163e+18,Wolf 503 b
7007,22.54834134864092,6.143501580894638,4.84,1.372,4.294755538944597e+18,1.8890188757496689e+18,5.052393685291049e+17,Wolf 503 b
7083,22.81438709117935,-49.07164154092847,3.93,0.972,2.0050905910852342e+18,9.429330174564467e+17,-9.121861274543109e+17,Wolf 503 b
7097,22.871056134394195,15.345800382789626,3.62,0.974,3.636129259502632e+18,1.631919645917708e+18,8.766984579841e+17,Wolf 503 b
7294,23.482241424529324,59.23188084568045,4.68,0.991,2.071001998730199e+18,9.83166100787205e+17,1.8016152573019205e+18,Wolf 503 b
7513,24.19776250475581,41.40283808166952,4.1,0.536,1.4481809436746363e+18,7.168295368615558e+17,4.1519045650754976e+17,Wolf 503 b
7588,24.42964611674067,-57.23703311061782,0.45,-0.158,1.8342094457930153e+18,8.93566359595955e+17,-1.003763373946476e+18,Wolf 503 b
7607,24.498784226664792,48.62743989205226,3.59,1.275,2.153133101905417e+18,1.0398764324822482e+18,1.3746776246170767e+18,Wolf 503 b
7818,25.145221697686384,40.57688747905262,4.96,-0.068,5.593086397131125e+18,2.668129988329938e+18,4.3306623189714294e+18,Wolf 503 b
7884,25.357735580425697,5.487638056821011,4.45,1.347,4.296621559324715e+18,2.0737778910324603e+18,4.734028262070245e+17,Wolf 503 b
7918,25.453824947473137,42.61212933209541,4.96,0.618,1.4231115253392317e+18,7.124645589707649e+17,4.044895728420652e+17,Wolf 503 b
7999,25.681211611836503,-3.690436953618045,4.98,1.378,1.1404235245597135e+19,5.513288991273551e+18,-5.925523803437443e+17,Wolf 503 b
8068,25.91541751873087,50.68863898731795,4.01,-0.098,5.028299053508955e+18,2.466820407984833e+18,5.387525417231414e+18,Wolf 503 b
