Star HIP,Magnitude,RA (degrees),Dec (degrees),Distance (AU),Color
122.0,4.78,0.3970285892647786,-77.06694152787097,13965118.912561802,1.254
154.0,4.37,0.4904014456199904,-6.014356322842632,26242341.769226864,1.631
301.0,4.55,0.9351634947056436,-17.33603777380153,14414032.58769918,-0.047
355.0,4.99,1.1254483577273542,-10.50960501651364,101608278.94571435,1.619
443.0,4.61,1.3338632049942485,-5.70701159434312,8127060.930921679,1.029
677.0,2.07,2.0979786941863345,29.089311163474704,6138833.529365378,-0.038
746.0,2.28,2.301541226855566,59.1485382275658,3444060.9010716304,0.38
765.0,3.88,2.3538790103738108,-45.74866509811286,8860172.098559082,1.013
910.0,4.89,2.815470948633589,-15.469829762251422,3896199.599060783,0.487
1067.0,2.83,3.309003624611514,15.183539225412067,21068928.12192164,-0.19
1168.0,4.79,3.651349762110293,20.20671469611751,20605874.758948304,1.572
1170.0,4.44,3.659869098740428,-18.93337307345101,31157825.725332465,1.64
1366.0,4.61,4.27246884570513,38.68151251138633,16014348.317907328,0.059
1473.0,4.51,4.581332531646425,36.78493184413622,8925348.611417038,0.054
1562.0,3.56,4.856877292524707,-8.82418171525453,18318366.45852378,1.214
1599.0,4.23,5.045400978171957,-64.86677022396391,1772339.0448517774,0.576
2021.0,2.82,6.506998979947076,-77.25199889343968,1541821.049022377,0.618
2072.0,3.93,6.551850407043493,-43.67960364597996,4852147.881465903,0.175
2081.0,2.4,6.573210640055541,-42.30841381553527,4894750.99430383,1.083
2210.0,4.86,6.981908731192464,-33.00751365989108,34666353.99727839,1.634
2472.0,4.76,7.85555608308055,-48.80338041844083,10873210.667600775,0.018
2484.0,4.36,7.887358768042954,-62.958591552839344,8833610.548713991,-0.064
2487.0,4.53,7.890781427482598,-62.965876050654,10884686.34856688,0.147
2505.0,4.74,7.943645439726753,54.52218685362289,22420087.641424894,-0.098
2599.0,4.17,8.25002553307195,62.93176826039628,261094691.4566772,0.13
2912.0,4.34,9.2203328425703,33.719319127255105,41501973.09475636,-0.123
2920.0,3.69,9.243059946662951,53.8968464274673,37777437.04719965,-0.196
3031.0,4.34,9.637131219571549,29.310003796910436,10665191.65971653,0.871
3092.0,3.27,9.832906891636195,30.86045267193544,6407729.311017467,1.268
3179.0,2.24,10.12746369697223,56.53710979472115,14454436.323141744,1.17
3245.0,4.59,10.331178587238778,-46.084999635615056,15637968.635165472,0.953
3300.0,4.8,10.51636460002619,50.51248118552076,70158097.36885336,-0.105
3405.0,4.36,10.838427544059812,-57.46295331853858,15200059.416386526,0.024
3414.0,4.95,10.866709890986527,47.024290635024265,11024308.1969238,0.17
3419.0,2.04,10.899062878153684,-17.986379561895237,6059483.155340102,1.019
3455.0,4.77,11.047456816968651,-10.610333719221485,13273153.564045437,0.998
