Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
122,0.3970285892647786,-77.06694152787097,4.78,1.254,2.946841972832682e+17,2.0009174331540477e+17,-1.8766166427888266e+18,AU Mic b
154,0.4904014456199904,-6.014356322842632,4.37,1.631,3.7312125668119547e+18,2.3026815379430854e+17,-2.517745552872055e+17,AU Mic b
301,0.9351634947056436,-17.33603777380153,4.55,-0.047,1.8852207417313748e+18,2.304464648557285e+17,-4.8296868038910074e+17,AU Mic b
355,1.1254483577273542,-10.50960501651364,4.99,1.619,1.4769825747339448e+19,4.904058760257281e+17,-2.613027322344751e+18,AU Mic b
443,1.3338632049942485,-5.70701159434312,4.61,1.029,1.036564663231075e+18,2.250132103568419e+17,3.866541910285877e+16,AU Mic b
677,2.0979786941863345,29.089311163474704,2.07,-0.038,6.291015508559674e+17,2.262310078643755e+17,6.060531150375055e+17,AU Mic b
746,2.301541226855566,59.1485382275658,2.28,0.38,9.111530502050547e+16,2.0746230364420406e+17,6.018933144095041e+17,AU Mic b
765,2.3538790103738108,-45.74866509811286,3.88,1.013,7.512606275413089e+17,2.348398402328071e+17,-7.898563562299195e+17,AU Mic b
910,2.815470948633589,-15.469829762251422,4.89,0.487,3.8818697774616346e+17,2.244447464003006e+17,4097404309879936.0,AU Mic b
1067,3.309003624611514,15.183539225412067,2.83,-0.19,2.8639229002777334e+18,3.7243196912419456e+17,9.850904879533417e+17,AU Mic b
1168,3.651349762110293,20.20671469611751,4.79,1.572,2.7141482807757655e+18,3.8108650203831136e+17,1.2243359308231667e+18,AU Mic b
1170,3.659869098740428,-18.93337307345101,4.44,1.64,4.2271415880986486e+18,4.782943087082675e+17,-1.352848479789738e+18,AU Mic b
1366,4.27246884570513,38.68151251138633,4.61,0.059,1.6921099004150656e+18,3.361804903987176e+17,1.6568867821698196e+18,AU Mic b
1473,4.581332531646425,36.78493184413622,4.51,0.054,8.930663223121249e+17,2.822668971674765e+17,9.591216083919813e+17,AU Mic b
1562,4.856877292524707,-8.82418171525453,3.56,1.214,2.5253780225750707e+18,4.261291924104182e+17,-2.6082231293993043e+17,AU Mic b
1599,5.045400978171957,-64.86677022396391,4.23,0.576,-6.071361917861226e+16,2.0675535776579136e+17,-8.047173461986006e+16,AU Mic b
2021,6.506998979947076,-77.25199889343968,2.82,0.618,-1.2232001358341331e+17,2.0261959001991706e+17,-6.54035072588912e+16,AU Mic b
2072,6.551850407043493,-43.67960364597996,3.93,0.175,3.486487173187484e+17,2.5675158895123107e+17,-3.417445456668724e+17,AU Mic b
2081,6.573210640055541,-42.30841381553527,2.4,1.083,3.650766624744982e+17,2.5884158958701683e+17,-3.3332889154683296e+17,AU Mic b
2210,6.981908731192464,-33.00751365989108,4.86,1.634,4.1439081453539927e+18,7.255042371515511e+17,-2.6655482834245463e+18,AU Mic b
2472,7.85555608308055,-48.80338041844083,4.76,0.018,8.884297802976076e+17,3.4328286986502624e+17,-1.0643983731166648e+18,AU Mic b
2484,7.887358768042954,-62.958591552839344,4.36,-0.064,4.222296537722131e+17,2.7929744968691168e+17,-1.0174712264933517e+18,AU Mic b
2487,7.890781427482598,-62.965876050654,4.53,0.147,5.6022164663657344e+17,2.984590249345671e+17,-1.2908618674444823e+18,AU Mic b
2505,7.943645439726753,54.52218685362289,4.74,-0.098,1.755077733083373e+18,4.65876308879428e+17,2.890901431190304e+18,AU Mic b
2599,8.25002553307195,62.93176826039628,4.17,0.13,1.7417366264503489e+19,2.7473253770875315e+18,3.494093138210344e+19,AU Mic b
2912,9.2203328425703,33.719319127255105,4.34,-0.123,4.924574069612413e+18,1.0243171379146299e+18,3.6061686337347773e+18,AU Mic b
2920,9.243059946662951,53.8968464274673,3.69,-0.196,3.1139691246005345e+18,7.317419112456502e+17,4.725742494076135e+18,AU Mic b
3031,9.637131219571549,29.31000379691044,4.34,0.871,1.198737835971189e+18,4.2975949879652416e+17,9.406260735425746e+17,AU Mic b
3092,9.832906891636195,30.86045267193544,3.27,1.268,6.378997842609638e+17,3.3737890292357203e+17,6.512781334265002e+17,AU Mic b
3179,10.12746369697223,56.53710979472115,2.24,1.17,1.0008641042731854e+18,4.065095512455912e+17,1.9635209699291988e+18,AU Mic b
3245,10.331178587238778,-46.084999635615056,4.59,0.953,1.423417281233179e+18,4.878472182613048e+17,-1.525694173481613e+18,AU Mic b
3300,10.51636460002619,50.51248118552076,4.8,-0.105,6.389292034704156e+18,1.415018880094216e+18,8.259723963052213e+18,AU Mic b
3405,10.838427544059812,-57.46295331853858,4.36,0.024,1.0283142758649596e+18,4.268286030203058e+17,-1.7574545398335744e+18,AU Mic b
3414,10.866709890986527,47.024290635024265,4.95,0.17,9.31215709566686e+17,4.088035990387777e+17,1.3662192112649477e+18,AU Mic b
