Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
122,0.3970285892647786,-77.06694152787097,4.78,1.254,7.118621162058637e+17,5.5071173556458e+16,-2.0790867655981972e+18,GJ 486 b
154,0.4904014456199904,-6.014356322842632,4.37,1.631,4.1483904857345505e+18,8.52475840353618e+16,-4.5424467809657626e+17,GJ 486 b
301,0.9351634947056436,-17.33603777380153,4.55,-0.047,2.3023986606539704e+18,8.542589509678174e+16,-6.854388031984714e+17,GJ 486 b
355,1.1254483577273542,-10.50960501651364,4.99,1.619,1.5187003666262045e+19,3.453853062667814e+17,-2.815497445154122e+18,GJ 486 b
443,1.3338632049942485,-5.70701159434312,4.61,1.029,1.4537425821536704e+18,7.999264059789512e+16,-1.6380470370651197e+17,GJ 486 b
677,2.0979786941863345,29.089311163474704,2.07,-0.038,1.0462794697785628e+18,8.121043810542874e+16,4.0358299222813485e+17,GJ 486 b
746,2.301541226855566,59.1485382275658,2.28,0.38,5.08293223943101e+17,6.244173388525732e+16,3.994231916001334e+17,GJ 486 b
765,2.3538790103738108,-45.74866509811286,3.88,1.013,1.1684385464639045e+18,8.981927047386032e+16,-9.923264790392901e+17,GJ 486 b
910,2.815470948633589,-15.469829762251422,4.89,0.487,8.05364896668759e+17,7.942417664135384e+16,-1.9837271849949078e+17,GJ 486 b
1067,3.309003624611514,15.183539225412067,2.83,-0.19,3.281100819200329e+18,2.2741139936524784e+17,7.82620365143971e+17,GJ 486 b
1168,3.651349762110293,20.20671469611751,4.79,1.572,3.1313261996983613e+18,2.360659322793646e+17,1.0218658080137961e+18,GJ 486 b
1170,3.659869098740428,-18.93337307345101,4.44,1.64,4.644319507021244e+18,3.3327373894932077e+17,-1.5553186025991086e+18,GJ 486 b
1366,4.27246884570513,38.68151251138633,4.61,0.059,2.1092878193376612e+18,1.911599206397708e+17,1.454416659360449e+18,GJ 486 b
1473,4.581332531646425,36.78493184413622,4.51,0.054,1.3102442412347205e+18,1.3724632740852976e+17,7.566514855826106e+17,GJ 486 b
1562,4.856877292524707,-8.82418171525453,3.56,1.214,2.9425559414976666e+18,2.8110862265147142e+17,-4.632924357493012e+17,GJ 486 b
1599,5.045400978171957,-64.86677022396391,4.23,0.576,3.564642997439832e+17,6.17347880068446e+16,-2.829418574292308e+17,GJ 486 b
2021,6.506998979947076,-77.25199889343968,2.82,0.618,2.948579053391822e+17,5.75990202609703e+16,-2.6787363006826192e+17,GJ 486 b
2072,6.551850407043493,-43.67960364597996,3.93,0.175,7.65826636241344e+17,1.1173101919228432e+17,-5.4421466847624314e+17,GJ 486 b
2081,6.573210640055541,-42.30841381553527,2.4,1.083,7.822545813970936e+17,1.1382101982807008e+17,-5.357990143562037e+17,GJ 486 b
2210,6.981908731192464,-33.00751365989108,4.86,1.634,4.5610860642765885e+18,5.804836673926043e+17,-2.8680184062339174e+18,GJ 486 b
2472,7.85555608308055,-48.80338041844083,4.76,0.018,1.305607699220203e+18,1.982623001060795e+17,-1.2668684959260355e+18,GJ 486 b
2484,7.887358768042954,-62.958591552839344,4.36,-0.064,8.394075726948086e+17,1.3427687992796493e+17,-1.2199413493027223e+18,GJ 486 b
2487,7.890781427482598,-62.965876050654,4.53,0.147,9.773995655591689e+17,1.5343845517562032e+17,-1.493331990253853e+18,GJ 486 b
2505,7.943645439726753,54.52218685362289,4.74,-0.098,2.1722556520059686e+18,3.208557391204812e+17,2.6884313083809326e+18,GJ 486 b
2599,8.25002553307195,62.93176826039628,4.17,0.13,1.7834544183426085e+19,2.6023048073285847e+18,3.4738461259294073e+19,GJ 486 b
2912,9.2203328425703,33.719319127255105,4.34,-0.123,5.341751988535008e+18,8.792965681556832e+17,3.403698510925406e+18,GJ 486 b
2920,9.243059946662951,53.8968464274673,3.69,-0.196,3.5311470435231304e+18,5.867213414867035e+17,4.5232723712667643e+18,GJ 486 b
3031,9.637131219571549,29.31000379691044,4.34,0.871,1.6159157548937846e+18,2.8473892903757744e+17,7.381559507332038e+17,GJ 486 b
3092,9.832906891636195,30.86045267193544,3.27,1.268,1.0550777031835593e+18,1.9235833316462528e+17,4.488080106171295e+17,GJ 486 b
3179,10.12746369697223,56.53710979472115,2.24,1.17,1.4180420231957809e+18,2.614889814866444e+17,1.7610508471198282e+18,GJ 486 b
