pl_name,hostname,hip_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,st_mass,st_masserr1,st_masserr2,st_masslim,rowupdate
11 Com b,11 Com,60202,323.21,0.06,-0.05,0.0,1.178,0.0,0.0,0.0,,,,,,,,,0.238,0.007,-0.007,0.0,,,,,,,,,2454519.4,1.5,-1.6,0.0,91.33,1.7,-1.8,0.0,2.09,0.64,-0.63,0.0,2023-09-19
11 UMi b,11 UMi,74793,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,,,,,,,,,0.08,0.03,-0.03,0.0,,,,,,,,,,,,,,,,,2.78,0.69,-0.69,0.0,2018-09-04
14 And b,14 And,116076,186.76,0.11,-0.12,0.0,0.775,0.0,0.0,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,2452853.0,2.1,-2.1,0.0,0.0,,,0.0,1.78,0.43,-0.29,0.0,2023-09-19
14 Her b,14 Her,79248,1765.0389,1.67709,-1.87256,0.0,2.774,0.109,-0.12,0.0,,,,,2559.47216,518.69596,-280.64248,0.0,0.373,0.008,-0.006,0.0,144.652,6.279,-3.241,0.0,,,,,2449614.563,5.447,-6.281,0.0,23.043,1.183,-1.105,0.0,0.91,0.11,-0.11,0.0,2023-06-12
16 Cyg B b,16 Cyg B,96901,799.45,0.15,-0.15,0.0,1.676,0.025,-0.025,0.0,,,,,,,,,0.6832,0.0031,-0.0031,0.0,,,,,2456937.32,0.38,-0.38,0.0,,,,,82.74,0.6,-0.6,0.0,0.98,0.04,-0.04,0.0,2021-09-20
17 Sco b,17 Sco,79540,578.38,2.01,-2.09,0.0,1.45,0.02,-0.02,0.0,,,,,,,,,0.06,0.03,-0.02,0.0,,,,,,,,,2453294.41,174.23,-182.91,0.0,57.03,113.18,-106.77,0.0,1.22,0.13,-0.14,0.0,2021-10-25
18 Del b,18 Del,103527,982.85,1.06,-0.92,0.0,2.476,0.002,-0.002,0.0,,,,,,,,,0.024,0.007,-0.018,0.0,,,,,,,,,2454356.1,102.9,-118.2,0.0,64.11,28.8,-57.98,0.0,2.1,0.13,-0.09,0.0,2023-09-19
24 Boo b,24 Boo,70791,30.33,0.0,-0.01,0.0,0.194,0.0,0.0,0.0,,,,,,,,,0.032,0.039,-0.023,0.0,,,,,,,,,2455129.2,3.0,-15.4,0.0,-179.2,89.32,-95.45,0.0,1.05,0.27,-0.18,0.0,2023-09-19
24 Sex b,24 Sex,50887,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,,,,,,,,,0.09,0.14,-0.06,0.0,,,,,,,,,2454762.0,67.3,-172.3,0.0,9.2,277.9,-165.4,0.0,1.54,0.08,-0.08,0.0,2014-05-14
24 Sex c,24 Sex,50887,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,,,,,,,,,0.29,0.16,-0.09,0.0,,,,,,,,,2454930.0,209.9,-96.5,0.0,220.5,182.2,-320.9,0.0,1.54,0.08,-0.08,0.0,2014-05-14
30 Ari B b,30 Ari B,12184,335.10001,2.5,-2.5,0.0,0.99,0.02,-0.02,0.0,,,,,,,,,0.29,0.09,-0.09,0.0,,,,,,,,,,,,,,,,,1.93,0.27,-0.27,0.0,2018-09-04
