HIP ID,RAJ2000,DEJ2000,Gmag,Plx,Teff,PM,Absolute Magnitude
1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,0.03532376056,36.58596003555,8.248223,3.1001,--,11.102,0.7051015155386686
8,0.02734284223,25.88645810089,7.425481,1.5204,--,19.831,-1.6647296953446693
6,0.01868469337,3.94645997327,11.73696,15.3938,--,223.493,7.673689199001992
2,0.00427321551,-19.49883599926,8.942914,26.7979,4617.6,179.808,6.083417810788362
10,0.03641642579,-50.86697451455,8.481748,10.7024,6318.1,58.797,3.6291538930427905
5,0.00996810368,-40.5912030647,8.307804,2.6055,5257.6,8.792,0.3872593875139003
4,0.00862612678,-51.89354298896,7.984906,7.3131,6854.2,61.979,2.305413560237098
11,0.03733579281,46.93999652984,7.324696,3.3645,--,11.203,-0.04070133680675614
3,0.00502608409,38.85927980643,6.596025,2.9927,--,6.243,-1.0236590818108384
12,0.04090080198,-35.96022143954,7.88723,1.8142,--,5.697,-0.8193441869626374
19,0.0533045482,38.30404616333,6.282961,4.4558,5058.6,13.122,-0.4724105542139352
7,0.02198176054,20.03611932182,9.323691,17.4912,5395.6,284.781,5.53778902838274
14,0.04842376057,-0.36044690697,6.908558,5.9966,--,59.607,0.798083402112435
13,0.04169575209,-22.59470619222,8.538684,2.4083,4873.6,12.009,0.44723692835517426
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,0.05035847856,50.79118639575,8.253609,2.5252,--,14.012,0.2650879032765836
17,0.05099020911,-40.19239550246,8.03971,6.7015,6463.7,44.368,2.170570109631859
16,0.05250280566,-54.91436578664,11.585863,3.2645,6447.0,277.278,4.154946364702411
18,0.05284906551,-4.05367928966,10.441756,22.783,4168.9,121.702,7.229810550792223
21,0.06638619238,8.00723469748,7.078523,3.5095,4350.3,61.293,-0.19525076625884008
23,0.07456270066,13.31223388065,7.463569,10.7299,6477.4,54.242,2.6165473723411417
20,0.06304616994,23.52922824106,8.394043,10.0663,6203.4,42.862,3.4083923463810537
24,0.0763889095,-23.45269707399,8.916584,10.9015,6078.4,129.723,4.104015295621924
29,0.09223100512,-49.10794385417,8.882331,2.0809,5184.9,27.33,0.4735870510059996
26,0.08409513466,-13.39337384091,9.000287,9.6223,6051.3,105.161,3.916681465136569
31,0.0980902031,2.67547842652,7.098974,1.9849,--,1.272,-1.4123328413359886
27,0.08591236582,-41.29782124258,9.158145,8.8421,5543.9,175.147,3.890922111321684
