hip,Magnitude,RA (degrees),Dec (degrees),Distance (AU)
522,5.7,1.5859376123522793,-49.07546549580308,5288841.21201968
948,9.92,2.93009938006635,-39.23082381375252,7075979.687800304
2736,8.97,8.740426175473154,4.380280397891093,9303780.176603148
5806,7.5,18.621061738630992,-5.048340295455167,7945485.614662486
6365,11.48,20.43794624901964,-46.714927721593405,4827166.076936315
6702,6.34,21.538572093056764,34.57911571389716,7890773.014631881
7599,7.33,24.473025995334556,-60.51148500171116,8123860.035671891
8159,6.27,26.232272673398207,20.082424601916145,6716535.542759182
8541,7.88,27.527683405449586,-54.46529041974234,29092356.319928106
8770,7.51,28.210716109755516,-19.50764987226905,11101442.755512143
10337,9.84,33.303477944281425,-21.196076377291075,4796855.974980848
10626,7.61,34.19835241061066,43.77173049894271,9388475.489828004
10657,6.53,34.29326113075748,23.767552448548,30377732.887514737
12191,7.28,39.25760356624957,42.06235853147296,12343794.51633837
12436,9.44,40.01383164624173,-61.355503473244134,8270441.3150496
13467,7.89,43.36381159242268,-8.848046563390263,24791443.067087628
13642,7.52,43.914765394674504,26.871899897860523,4718938.614958897
16038,9.17,51.64035728988597,-43.613732363244125,16331338.582802562
16537,3.72,53.22587498590054,-9.45813819706802,663764.4761554693
17747,7.25,57.00204282456788,40.530780096571554,10720624.032177543
18527,8.87,59.43386856526774,-20.26705046487872,7963892.141679291
19428,6.88,62.41243039773697,31.652612841539987,8224274.578823309
20199,8.26,64.9390831600727,-41.96090171260565,9187741.931370398
20277,9.36,65.19849332986415,-59.40896388348979,8740034.177305749
20606,7.69,66.2105454578858,-50.62318192560844,11587910.470000418
20723,7.8,66.61023457240495,-10.551235635134299,8159209.1149758
21152,6.37,68.02082649179499,5.410077431823818,8917631.060593126
21547,5.22,69.40084780778164,-2.473990014977945,6138833.525872849
21571,7.76,69.46843893849834,60.6763475168478,6095295.697677533
21850,8.41,70.47741334319444,-58.02083938423821,11283632.729391675
22336,5.77,72.15376820756211,-5.675759270293643,5466864.746912144
22627,11.94,73.02487501984795,6.474406117555767,2499573.5223820703
23884,7.6,76.98182082636426,26.327501554132827,7267963.581200035
25486,6.3,81.76996723600176,-11.901302692897426,5535824.112406283
26013,9.12,83.26927941744972,-26.72347061481743,6975475.360833946
26394,5.65,84.30416137314128,-80.46189783617777,3755732.146215973
27253,5.95,86.64491586544855,1.1672180563336967,8751158.524764683
27321,3.85,86.82124928133719,-51.06595026353258,3976572.322134848
29550,8.98,93.39976541686868,-29.89717315775037,11333231.118325964
30114,7.69,95.06017357977423,-10.725120411385276,10401654.378568172
33212,6.84,103.67815739050909,24.244895814395342,6399776.803445628
34801,7.95,108.06210716378968,-38.174702339508436,15166529.872029215
35965,10.18,111.20331668264947,-51.324765647312745,10925042.730457779
36941,7.32,113.903967289475,-75.54429857013784,11131398.071576854
38228,6.9,117.47934919618821,27.363100005743803,4499668.549663346
39017,6.98,119.76663344652991,-4.332705142186589,12732395.448197292
39417,8.25,120.86896460917484,-1.16413746709133,11351943.114145344
39589,9.11,121.34671728956702,-74.40986699082113,16879280.38156487
40344,5.77,123.55484436662427,-35.48986818471441,14343866.915229224
