pl_name,hostname,radius,hip,absolute_x,absolute_y,absolute_z,true_anomaly,inclination,SE3_string
AU Mic b,AU Mic,3.957,102409,1.728895669806115e+17,-1.9685165957879405e+17,-1.5956724518707283e+17,6.160425433151581,1.5634484906440005,"[[0.9938551965324202, -0.10727271355368617, 0.027283937625156737, 1.728895669806115e+17], [0.10731266347429964, 0.9942253226799506, 0.0, -1.9685165957879405e+17], [-0.027126381689351102, 0.002927912016622227, 0.9996277240791527, -1.5956724518707283e+17], [0.0, 0.0, 0.0, 1.0]]"
AU Mic c,AU Mic,2.522,102409,1.7288954193869738e+17,-1.9685165948756422e+17,-1.5956723788711456e+17,2.764770743271696,1.5573049316769805,"[[0.9984670584210432, -0.04821781201813089, 0.027176752054160907, 1.7288954193869738e+17], [0.048235628143460066, 0.9988359846229039, 0.0, -1.9685165948756422e+17], [-0.027145117896870335, 0.00131088770623152, 0.9996306438619149, -1.5956723788711456e+17], [0.0, 0.0, 0.0, 1.0]]"
GJ 3090 b,GJ 3090,2.13,6365,4.6395518211193626e+17,1.7289324075625546e+17,-5.256857833086397e+17,-1.481196210793171,1.5208799101878585,"[[0.9993136989213935, 0.025839765268961784, 0.02654124486318135, 4.6395518211193626e+17], [-0.025848871332369464, 0.9996658621013537, 0.0, 1.7289324075625546e+17], [-0.02653237642739531, -0.0006860612234692868, 0.9996477191096435, -5.256857833086397e+17], [0.0, 0.0, 0.0, 1.0]]"
GJ 367 b,GJ 367,0.699,47780,-1.7538099076979152e+17,1.1776360962529378e+17,-2.1708607010896294e+17,4.648643177404816,1.3943435394182695,"[[0.9964153026664947, -0.0810211465350233, 0.024333483642671495, -1.7538099076979152e+17], [0.08104514424955317, 0.9967104316668755, 0.0, 1.1776360962529378e+17], [-0.02425343698544596, 0.0019721106919144537, 0.9997038969483973, -2.1708607010896294e+17], [0.0, 0.0, 0.0, 1.0]]"
GJ 486 b,GJ 486,1.289,62452,-2.4428835194198403e+17,-5.183108981984729e+16,4.2902877622297896e+16,-2.304204483902608,1.5601498183577311,"[[0.9988210404375465, 0.040190211086543165, 0.027226386320558023, -2.4428835194198403e+17], [-0.040205115394919916, 0.9991914474694432, 0.0, -5.183108981984729e+16], [-0.027204372357000618, -0.0010946400038047044, 0.9996292932322081, 4.2902877622297896e+16], [0.0, 0.0, 0.0, 1.0]]"
HD 108236 f,HD 108236,2.017,60689,-1.2144676704244362e+18,-1.3995488052711246e+17,-1.52938875566065e+18,5.759952968141462,1.5526972624517157,"[[0.9945857793449028, -0.10032404823822226, 0.027096362670795744, -1.2144676704244362e+18], [0.10036089813490842, 0.994951099363961, 0.0, -1.3995488052711246e+17], [-0.02695955582807282, 0.0027194152938302667, 0.9996328261566908, -1.52938875566065e+18], [0.0, 0.0, 0.0, 1.0]]"
HD 114082 b,HD 114082,11.209,64184,-1.2119357950285745e+18,-3.778684155866335e+17,-2.2263962436372508e+18,1.790263041258252,1.5707963267948966,"[[0.9991362842248384, -0.03122916068860915, 0.027412133592044294, -1.2119357950285745e+18], [0.031240900492308772, 0.9995118839395706, 0.0, -3.778684155866335e+17], [-0.02739875328938738, 0.0008563797378309305, 0.9996242168594817, -2.2263962436372508e+18], [0.0, 0.0, 0.0, 1.0]]"
HD 118203 b,HD 118203,12.554,66192,-1.4827621696172887e+18,-6.450172708179094e+17,2.203509604577611e+18,2.620257930364536,1.551597705022959,"[[0.9985881977927106, -0.045699426873213406, 0.02707717881475626, -1.4827621696172887e+18], [0.04571618889782878, 0.9989544684682371, 0.0, -6.450172708179094e+17], [-0.02704886877051425, 0.0012378654215156849, 0.9996333459761303, 2.203509604577611e+18], [0.0, 0.0, 0.0, 1.0]]"
HD 183579 b,HD 183579,3.49,96160,4.188350102906175e+17,-9.731270619833266e+17,-1.4870792711735002e+18,1.253391430192848,1.5552628964521469,"[[0.9993924340257397, -0.02186600438728391, 0.02714112496273379, 4.188350102906175e+17], [0.021874062533524044, 0.9997607340700472, 0.0, -9.731270619833266e+17], [-0.027134631016229618, 0.0005936866646650293, 0.9996316118129505, -1.4870792711735002e+18], [0.0, 0.0, 0.0, 1.0]]"
HD 21520 b,HD 21520,2.697,16038,1.0977528898313647e+18,1.3870252796850388e+18,-1.6852805886015478e+18,5.834370510340227,1.5573572915545404,"[[0.9944524407725034, -0.10161553786620081, 0.027177665568871974, 1.0977528898313647e+18], [0.10165308658233664, 0.9948199083192314, 0.0, 1.3870252796850388e+18], [-0.02703688276955595, 0.002762693591178332, 0.9996306190259613, -1.6852805886015478e+18], [0.0, 0.0, 0.0, 1.0]]"
