pl_name,hostname,x,y,z,last_updated
14 Her b,14 Her,-344132211915.96313,-279466257669.0006,198224845537.5807,2023-06-12
51 Eri b,51 Eri,-620433864902.4095,-1087381857364.4397,1166074279686.148,2019-07-09
AF Lep b,AF Lep,810031262560.7485,365684826603.32526,435806205861.70355,2023-06-12
AU Mic b,AU Mic,9386760592.017889,-16592235.59657989,-2258071171.701047,2024-09-28
AU Mic c,AU Mic,-15135592925.767927,92842374.60169752,6881181726.23891,2024-09-28
BD+63 1405 b,BD+63 1405,-570850940663.073,53688062063.592224,23344233772.920536,2023-06-12
BD-210397 c,BD-210397,318017155131.8302,409487398789.1452,265924226092.36798,2023-09-05
GJ 179 b,GJ 179,-38271383821.11333,172499914142.08493,311198082892.5416,2023-06-12
GJ 3090 b,GJ 3090,-1272824194.5125976,-223532278.595004,-4474411592.356825,2023-11-28
GJ 367 b,GJ 367,-385362804.1956438,177096132.72051343,993207937.0111116,2023-08-10
GJ 463 b,GJ 463,183491322461.32104,-417588883967.09076,222035948162.2932,2023-03-15
GJ 486 b,GJ 486,-2517802514.0153346,-5286877.7686080225,-496564488.32116634,2024-09-28
GJ 676 A b,GJ 676 A,-337286302354.95575,31788147522.089355,36463840167.48519,2023-06-12
GJ 676 A c,GJ 676 A,958235184910.0941,348360736161.6189,232239897742.63818,2023-06-12
GJ 680 b,GJ 680,880019406735.18,358503144314.89844,144728230359.1855,2023-06-12
GJ 832 b,GJ 832,404373133297.751,217474263082.45828,268558349100.0834,2023-09-05
GJ 876 e,GJ 876,44422473888.9128,11539120242.176285,19204321063.429527,2017-10-16
GJ 896 A b,GJ 896 A,-97820397901.93979,-23565725879.117313,-62037211225.92131,2022-09-14
GJ 9714 b,GJ 9714,1525604899506.2366,-305365715253.9211,140284685873.59332,2023-06-12
HD 100777 b,HD 100777,88411915880.40703,3.124579938884966e-06,51028262860.12294,2023-09-05
HD 10180 f,HD 10180,-63881807438.35734,-3.051209973579132e-06,-49830040395.37772,2015-06-24
HD 10180 h,HD 10180,-543813252934.1921,-4.5605225325563454e-06,-74478985054.8184,2015-06-24
HD 103891 b,HD 103891,-304768282050.60834,389978431308.9886,202145618518.61542,2023-06-12
