pl_name,hostname,pl_letter,hip_name,default_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate
11 Com b,11 Com,b,60202,1,1.178,0.0,0.0,0.0,,,,,,,,,4914.89849,39.09289,-39.72855,0.0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846,1.9238,-1.9238,4.44038,0.0038479,-0.0038479,2023-09-19
11 UMi b,11 UMi,b,74793,1,1.53,0.07,-0.07,0.0,,,,,,,,,4684.8142,794.575,-794.575,0.0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.321,1.9765,-1.9765,4.56216,0.0039035,-0.0039035,2018-09-04
14 And b,14 And,b,116076,1,0.775,0.0,0.0,0.0,,,,,,,,,1131.1513,36.23244,-38.77507,0.0,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,0.714,-0.714,4.91781,0.0028262,-0.0028262,2023-09-19
14 Her b,14 Her,b,79248,1,2.774,0.109,-0.12,0.0,,,,,2559.47216,518.69596,-280.64248,0.0,2559.47216,518.69596,-280.64248,0.0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323,0.0073,-0.0073,6.383,0.0003512,-0.0003512,2023-06-12
16 Cyg B b,16 Cyg B,b,96901,0,1.676,0.025,-0.025,0.0,,,,,,,,,556.83537,17.16273,-16.84491,0.0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397,0.011,-0.0111,6.06428,0.0006029,-0.0006029,2021-09-20
17 Sco b,17 Sco,b,79540,1,1.45,0.02,-0.02,0.0,,,,,,,,,1373.01872,47.67426,-38.13941,0.0,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.953,2.59,-2.59,4.75429,0.005055,-0.005055,2021-10-25
18 Del b,18 Del,b,103527,1,2.476,0.002,-0.002,0.0,,,,,,,,,2926.24614,50.85255,-24.47279,0.0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.222,0.6217,-0.6217,5.27476,0.0026539,-0.0026539,2023-09-19
24 Boo b,24 Boo,b,70791,1,0.194,0.0,0.0,0.0,,,,,,,,,280.64248,11.44182,-13.66662,0.0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863,0.63685,-0.63685,5.3339,0.0019998,-0.0019998,2023-09-19
24 Sex b,24 Sex,b,50887,1,1.333,0.004,-0.009,0.0,,,,,,,,,632.46,82.63,-120.77,0.0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,0.6854,-0.6728,6.20374,0.0004976,-0.0004976,2014-05-14
24 Sex c,24 Sex,c,50887,1,2.08,0.05,-0.02,0.0,,,,,,,,,273.32,111.24,-69.92,0.0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691,0.6854,-0.6728,6.20374,0.0004976,-0.0004976,2014-05-14
